,automotive industry,auto insurance,second hand car,mobile phone,mercedes benz,electrical appliance,wifi,clothing,shoes,underwear,electricity,energy,gasoline,tobacco,video game,t-shirt,natural gas,health care,furniture,interior design,ebook,novel,footwear,lingerie,real estate,life insurance,dessert,potato,coffee,bottled water,margarine,offal,juice,jam,veterinarians,amusement park,television,hairdresser,timber,travel agency,nightclub,fur,vitamins,petroleum,beer,lawyer,renovation,restaurant
2006-01-01,58,0,76,81,61,0,35,74,72,38,98,64,47,42,72,13,0,0,59,40,60,100,0,52,73,0,58,48,65,0,0,0,26,54,34,0,45,47,0,48,55,0,72,67,69,22,0,50
2006-01-08,38,0,57,68,86,0,86,75,73,0,70,62,18,0,68,43,96,0,83,63,41,0,66,52,76,0,0,34,56,0,0,0,69,27,0,31,38,24,0,46,16,65,0,66,29,49,0,59
2006-01-15,55,0,69,82,70,51,61,80,78,0,42,56,78,0,71,30,75,100,82,67,55,0,0,56,70,0,0,24,93,32,0,31,34,13,68,0,44,31,0,58,54,0,66,57,56,56,19,61
2006-01-22,59,64,66,77,95,0,86,66,78,60,75,46,30,0,60,24,41,40,82,78,24,66,0,44,79,20,15,0,68,0,0,0,0,27,26,0,44,30,36,51,34,0,34,98,29,24,0,49
2006-01-29,0,0,89,72,79,0,68,76,64,0,62,57,22,26,63,36,33,0,76,87,66,0,43,70,74,56,100,47,45,56,46,0,0,24,32,0,49,40,69,58,41,100,71,57,39,52,21,63
2006-02-05,0,0,56,66,67,100,50,95,96,43,76,67,15,0,63,43,32,0,81,97,53,0,0,46,69,41,28,0,71,0,0,0,0,13,59,0,41,62,85,62,43,33,49,59,25,47,0,64
2006-02-12,0,0,93,67,62,0,69,81,79,54,63,44,0,0,59,41,38,0,86,95,49,0,50,60,77,0,0,0,100,0,67,100,37,16,74,0,48,40,0,51,32,0,49,70,35,39,32,100
2006-02-19,40,0,66,68,76,0,61,73,65,0,79,62,100,43,65,35,56,0,70,81,29,100,0,49,76,0,59,25,49,0,0,0,67,47,39,48,50,45,0,56,62,0,29,40,39,29,33,61
2006-02-26,0,0,73,61,76,0,30,88,91,43,63,51,0,0,69,12,58,33,41,78,50,0,0,35,84,30,23,53,42,0,0,0,42,24,0,0,55,0,100,46,63,0,45,35,48,47,0,54
2006-03-05,0,68,75,68,53,0,37,84,67,51,91,62,14,0,70,28,96,0,58,65,38,0,0,0,72,0,14,0,86,0,42,0,0,11,55,0,46,31,0,58,53,0,38,33,17,77,23,54
2006-03-12,84,0,62,65,64,0,46,76,64,76,97,57,64,0,63,59,15,52,85,74,27,41,0,58,82,25,39,42,58,0,0,0,0,63,26,0,51,13,0,72,53,25,100,69,34,35,0,59
2006-03-19,0,0,97,58,71,0,36,81,75,28,84,63,0,0,73,22,59,34,76,95,73,0,0,36,81,0,53,24,65,0,0,27,0,49,0,33,49,32,0,54,61,0,0,42,59,46,0,56
2006-03-26,27,0,65,63,86,0,49,78,57,66,50,55,41,0,78,42,36,0,91,58,80,43,0,0,80,0,0,27,61,0,100,0,65,45,52,0,45,100,75,60,52,30,55,83,77,70,0,56
2006-04-02,31,0,66,67,100,0,69,66,63,29,51,51,28,52,75,49,34,0,58,86,52,0,53,67,86,0,23,13,0,0,0,41,0,36,31,0,58,0,0,65,52,0,42,42,78,67,0,61
2006-04-09,0,43,66,59,94,0,67,100,68,60,56,42,62,44,81,67,0,31,68,68,64,97,0,0,70,0,42,31,47,0,46,0,100,42,27,72,51,49,0,59,64,0,29,31,38,40,0,69
2006-04-16,39,0,82,58,92,0,64,67,69,39,80,58,29,0,65,47,0,0,70,55,19,0,74,48,83,0,0,17,66,0,0,0,46,0,46,34,50,27,0,56,44,0,47,76,83,30,0,59
2006-04-23,0,0,56,51,83,0,59,70,75,21,50,66,0,26,66,52,98,0,51,80,41,0,55,0,84,100,37,14,58,32,0,0,0,9,54,0,46,18,65,65,39,0,40,59,76,61,0,57
