Category: All categories

Week,Energy: (Portugal),Amusement park: (Portugal)
2018-01-07,82,5
2018-01-14,86,6
2018-01-21,85,4
2018-01-28,79,4
2018-02-04,72,3
2018-02-11,71,7
2018-02-18,82,4
2018-02-25,78,5
2018-03-04,82,4
2018-03-11,95,6
2018-03-18,83,6
2018-03-25,85,7
2018-04-01,82,7
2018-04-08,80,6
2018-04-15,90,4
2018-04-22,85,5
2018-04-29,89,4
2018-05-06,79,3
2018-05-13,80,7
2018-05-20,92,5
2018-05-27,77,8
2018-06-03,100,6
2018-06-10,82,6
2018-06-17,67,7
2018-06-24,59,4
2018-07-01,58,4
2018-07-08,55,7
2018-07-15,60,7
2018-07-22,59,11
2018-07-29,55,9
2018-08-05,50,15
2018-08-12,53,12
2018-08-19,55,9
2018-08-26,54,9
2018-09-02,59,8
2018-09-09,56,6
2018-09-16,59,3
2018-09-23,76,4
2018-09-30,69,4
2018-10-07,88,4
2018-10-14,74,8
2018-10-21,76,3
2018-10-28,68,3
2018-11-04,75,5
2018-11-11,76,3
2018-11-18,79,4
2018-11-25,80,6
2018-12-02,81,5
2018-12-09,66,6
2018-12-16,63,6
2018-12-23,49,8
2018-12-30,65,4
