Category: All categories

Week,Energy: (Portugal),Beer: (Portugal)
2015-01-04,88,23
2015-01-11,100,22
2015-01-18,93,22
2015-01-25,87,23
2015-02-01,76,24
2015-02-08,77,21
2015-02-15,67,29
2015-02-22,93,24
2015-03-01,83,23
2015-03-08,82,35
2015-03-15,82,33
2015-03-22,72,25
2015-03-29,56,30
2015-04-05,72,34
2015-04-12,81,28
2015-04-19,76,36
2015-04-26,71,27
2015-05-03,78,29
2015-05-10,82,34
2015-05-17,77,35
2015-05-24,81,33
2015-05-31,71,32
2015-06-07,74,37
2015-06-14,66,32
2015-06-21,55,38
2015-06-28,55,36
2015-07-05,49,33
2015-07-12,50,35
2015-07-19,50,37
2015-07-26,56,43
2015-08-02,42,43
2015-08-09,43,37
2015-08-16,47,37
2015-08-23,46,29
2015-08-30,52,30
2015-09-06,52,36
2015-09-13,51,34
2015-09-20,58,40
2015-09-27,63,30
2015-10-04,63,29
2015-10-11,66,32
2015-10-18,64,27
2015-10-25,69,25
2015-11-01,68,23
2015-11-08,63,27
2015-11-15,63,25
2015-11-22,68,26
2015-11-29,70,23
2015-12-06,60,30
2015-12-13,64,32
2015-12-20,40,25
2015-12-27,52,33
