Category: All categories

Week,Energy: (Portugal),Clothing: (Portugal)
2008-01-06,71,79
2008-01-13,66,77
2008-01-20,61,90
2008-01-27,62,86
2008-02-03,54,74
2008-02-10,61,65
2008-02-17,73,65
2008-02-24,73,69
2008-03-02,72,82
2008-03-09,60,70
2008-03-16,53,81
2008-03-23,47,76
2008-03-30,74,75
2008-04-06,68,78
2008-04-13,68,73
2008-04-20,82,83
2008-04-27,66,59
2008-05-04,89,78
2008-05-11,82,79
2008-05-18,90,71
2008-05-25,100,66
2008-06-01,95,65
2008-06-08,76,65
2008-06-15,69,70
2008-06-22,55,81
2008-06-29,50,71
2008-07-06,51,69
2008-07-13,60,60
2008-07-20,35,60
2008-07-27,31,66
2008-08-03,34,72
2008-08-10,28,76
2008-08-17,38,71
2008-08-24,32,79
2008-08-31,36,71
2008-09-07,39,75
2008-09-14,52,59
2008-09-21,59,73
2008-09-28,61,66
2008-10-05,66,67
2008-10-12,60,78
2008-10-19,58,68
2008-10-26,59,67
2008-11-02,53,86
2008-11-09,65,74
2008-11-16,72,67
2008-11-23,61,71
2008-11-30,57,68
2008-12-07,54,69
2008-12-14,63,70
2008-12-21,40,79
2008-12-28,51,83
