Category: All categories

Week,Energy: (Portugal),Coffee: (Portugal)
2006-01-01,65,22
2006-01-08,66,14
2006-01-15,60,15
2006-01-22,52,14
2006-01-29,58,12
2006-02-05,63,17
2006-02-12,44,27
2006-02-19,66,17
2006-02-26,56,8
2006-03-05,55,15
2006-03-12,57,13
2006-03-19,60,17
2006-03-26,51,13
2006-04-02,44,16
2006-04-09,42,13
2006-04-16,62,9
2006-04-23,63,14
2006-04-30,83,9
2006-05-07,92,9
2006-05-14,86,14
2006-05-21,100,14
2006-05-28,75,11
2006-06-04,97,11
2006-06-11,60,10
2006-06-18,41,12
2006-06-25,38,11
2006-07-02,33,11
2006-07-09,33,13
2006-07-16,33,6
2006-07-23,34,17
2006-07-30,28,10
2006-08-06,30,3
2006-08-13,28,15
2006-08-20,24,21
2006-08-27,35,14
2006-09-03,26,19
2006-09-10,28,16
2006-09-17,40,10
2006-09-24,52,13
2006-10-01,61,11
2006-10-08,55,14
2006-10-15,51,20
2006-10-22,62,13
2006-10-29,49,13
2006-11-05,54,16
2006-11-12,45,16
2006-11-19,56,17
2006-11-26,50,12
2006-12-03,47,15
2006-12-10,48,11
2006-12-17,32,8
2006-12-24,29,11
2006-12-31,39,12
