Category: All categories

Week,Energy: (Portugal),Dessert: (Portugal)
2010-01-03,67,8
2010-01-10,72,6
2010-01-17,72,8
2010-01-24,73,6
2010-01-31,76,6
2010-02-07,67,7
2010-02-14,56,8
2010-02-21,70,9
2010-02-28,67,8
2010-03-07,70,4
2010-03-14,65,7
2010-03-21,62,6
2010-03-28,41,15
2010-04-04,57,6
2010-04-11,75,9
2010-04-18,86,9
2010-04-25,74,5
2010-05-02,84,9
2010-05-09,78,8
2010-05-16,97,12
2010-05-23,100,10
2010-05-30,84,10
2010-06-06,69,9
2010-06-13,50,4
2010-06-20,42,8
2010-06-27,44,10
2010-07-04,45,8
2010-07-11,36,15
2010-07-18,37,10
2010-07-25,47,3
2010-08-01,38,10
2010-08-08,35,7
2010-08-15,37,7
2010-08-22,36,7
2010-08-29,31,7
2010-09-05,37,7
2010-09-12,50,5
2010-09-19,55,10
2010-09-26,54,7
2010-10-03,49,8
2010-10-10,60,9
2010-10-17,49,9
2010-10-24,56,10
2010-10-31,62,7
2010-11-07,59,7
2010-11-14,68,7
2010-11-21,61,7
2010-11-28,59,7
2010-12-05,56,6
2010-12-12,50,11
2010-12-19,32,19
2010-12-26,28,13
