Category: All categories

Week,Energy: (Portugal),ebook: (Portugal)
2016-01-03,93,15
2016-01-10,82,12
2016-01-17,88,13
2016-01-24,81,12
2016-01-31,76,12
2016-02-07,67,17
2016-02-14,79,13
2016-02-21,87,16
2016-02-28,90,12
2016-03-06,84,17
2016-03-13,78,12
2016-03-20,67,13
2016-03-27,66,11
2016-04-03,80,16
2016-04-10,87,15
2016-04-17,86,16
2016-04-24,86,13
2016-05-01,93,11
2016-05-08,95,13
2016-05-15,100,16
2016-05-22,93,10
2016-05-29,96,8
2016-06-05,75,10
2016-06-12,82,8
2016-06-19,57,10
2016-06-26,62,8
2016-07-03,57,11
2016-07-10,57,10
2016-07-17,58,10
2016-07-24,56,15
2016-07-31,46,14
2016-08-07,45,12
2016-08-14,44,11
2016-08-21,52,14
2016-08-28,66,9
2016-09-04,58,13
2016-09-11,59,12
2016-09-18,67,15
2016-09-25,74,10
2016-10-02,74,12
2016-10-09,72,12
2016-10-16,74,12
2016-10-23,76,13
2016-10-30,70,15
2016-11-06,89,12
2016-11-13,81,11
2016-11-20,79,12
2016-11-27,77,13
2016-12-04,68,11
2016-12-11,63,10
2016-12-18,47,10
2016-12-25,56,15
