Category: All categories

Week,Energy: (Portugal),electrical appliance: (Portugal)
2016-01-03,95,0
2016-01-10,82,0
2016-01-17,88,0
2016-01-24,83,1
2016-01-31,79,0
2016-02-07,67,0
2016-02-14,81,0
2016-02-21,86,0
2016-02-28,92,0
2016-03-06,85,0
2016-03-13,79,1
2016-03-20,66,0
2016-03-27,69,0
2016-04-03,80,1
2016-04-10,89,0
2016-04-17,87,0
2016-04-24,88,0
2016-05-01,91,0
2016-05-08,97,0
2016-05-15,100,0
2016-05-22,95,2
2016-05-29,98,0
2016-06-05,77,0
2016-06-12,83,1
2016-06-19,57,0
2016-06-26,62,3
2016-07-03,59,0
2016-07-10,56,0
2016-07-17,60,3
2016-07-24,60,0
2016-07-31,50,0
2016-08-07,45,0
2016-08-14,45,1
2016-08-21,54,3
2016-08-28,64,0
2016-09-04,59,0
2016-09-11,60,0
2016-09-18,70,0
2016-09-25,75,0
2016-10-02,75,0
2016-10-09,74,0
2016-10-16,73,0
2016-10-23,77,2
2016-10-30,71,0
2016-11-06,88,0
2016-11-13,83,1
2016-11-20,79,1
2016-11-27,77,0
2016-12-04,69,0
2016-12-11,63,0
2016-12-18,51,0
2016-12-25,58,1
