Category: All categories

Week,Energy: (Portugal),Electricity: (Portugal)
2015-01-04,87,50
2015-01-11,100,43
2015-01-18,93,45
2015-01-25,85,40
2015-02-01,75,43
2015-02-08,76,34
2015-02-15,70,39
2015-02-22,92,39
2015-03-01,84,39
2015-03-08,83,35
2015-03-15,84,35
2015-03-22,69,31
2015-03-29,58,28
2015-04-05,73,30
2015-04-12,82,32
2015-04-19,78,32
2015-04-26,73,26
2015-05-03,77,33
2015-05-10,84,31
2015-05-17,78,31
2015-05-24,84,37
2015-05-31,71,25
2015-06-07,75,24
2015-06-14,65,27
2015-06-21,56,27
2015-06-28,57,27
2015-07-05,50,22
2015-07-12,52,23
2015-07-19,48,27
2015-07-26,56,23
2015-08-02,41,22
2015-08-09,43,27
2015-08-16,46,26
2015-08-23,44,24
2015-08-30,55,28
2015-09-06,55,27
2015-09-13,50,29
2015-09-20,58,31
2015-09-27,65,27
2015-10-04,62,28
2015-10-11,67,28
2015-10-18,64,30
2015-10-25,69,31
2015-11-01,69,31
2015-11-08,62,30
2015-11-15,62,30
2015-11-22,71,33
2015-11-29,71,33
2015-12-06,63,30
2015-12-13,66,23
2015-12-20,39,27
2015-12-27,54,30
