Category: All categories

Week,Energy: (Portugal),Footwear: (Portugal)
2007-01-07,70,0
2007-01-14,70,10
2007-01-21,68,0
2007-01-28,71,0
2007-02-04,58,0
2007-02-11,59,3
2007-02-18,43,3
2007-02-25,62,0
2007-03-04,73,0
2007-03-11,66,0
2007-03-18,72,0
2007-03-25,53,0
2007-04-01,54,0
2007-04-08,83,0
2007-04-15,78,0
2007-04-22,79,0
2007-04-29,68,2
2007-05-06,100,0
2007-05-13,98,2
2007-05-20,92,0
2007-05-27,94,0
2007-06-03,93,0
2007-06-10,79,0
2007-06-17,49,0
2007-06-24,50,4
2007-07-01,44,3
2007-07-08,48,2
2007-07-15,40,0
2007-07-22,43,0
2007-07-29,36,0
2007-08-05,38,0
2007-08-12,38,5
2007-08-19,48,2
2007-08-26,36,0
2007-09-02,53,2
2007-09-09,45,6
2007-09-16,49,0
2007-09-23,68,0
2007-09-30,57,3
2007-10-07,70,0
2007-10-14,74,0
2007-10-21,71,0
2007-10-28,73,0
2007-11-04,83,3
2007-11-11,83,0
2007-11-18,78,0
2007-11-25,81,3
2007-12-02,78,0
2007-12-09,79,0
2007-12-16,46,1
2007-12-23,38,4
2007-12-30,53,2
