Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2012-01-01,74,52
2012-01-08,85,57
2012-01-15,84,48
2012-01-22,81,53
2012-01-29,70,52
2012-02-05,81,48
2012-02-12,73,44
2012-02-19,64,61
2012-02-26,77,50
2012-03-04,77,49
2012-03-11,84,49
2012-03-18,81,52
2012-03-25,64,43
2012-04-01,53,40
2012-04-08,68,52
2012-04-15,89,53
2012-04-22,75,52
2012-04-29,81,47
2012-05-06,90,54
2012-05-13,97,50
2012-05-20,95,50
2012-05-27,100,51
2012-06-03,83,43
2012-06-10,77,45
2012-06-17,67,47
2012-06-24,72,42
2012-07-01,67,53
2012-07-08,60,42
2012-07-15,51,51
2012-07-22,46,45
2012-07-29,42,49
2012-08-05,42,52
2012-08-12,41,52
2012-08-19,45,58
2012-08-26,46,57
2012-09-02,46,54
2012-09-09,58,57
2012-09-16,66,55
2012-09-23,56,53
2012-09-30,52,53
2012-10-07,58,47
2012-10-14,61,49
2012-10-21,62,53
2012-10-28,63,51
2012-11-04,67,53
2012-11-11,63,49
2012-11-18,66,48
2012-11-25,71,47
2012-12-02,69,39
2012-12-09,67,34
2012-12-16,56,35
2012-12-23,64,33
2012-12-30,72,46
