Category: All categories

Week,Energy: (Portugal),Furniture: (Portugal)
2010-01-03,65,47
2010-01-10,73,45
2010-01-17,69,50
2010-01-24,73,47
2010-01-31,76,47
2010-02-07,68,41
2010-02-14,55,38
2010-02-21,69,44
2010-02-28,64,44
2010-03-07,67,39
2010-03-14,65,39
2010-03-21,60,43
2010-03-28,45,44
2010-04-04,56,43
2010-04-11,72,40
2010-04-18,85,43
2010-04-25,75,41
2010-05-02,79,38
2010-05-09,76,35
2010-05-16,94,34
2010-05-23,100,38
2010-05-30,82,34
2010-06-06,66,37
2010-06-13,47,35
2010-06-20,39,36
2010-06-27,46,39
2010-07-04,45,38
2010-07-11,38,46
2010-07-18,36,45
2010-07-25,47,42
2010-08-01,42,46
2010-08-08,32,39
2010-08-15,37,41
2010-08-22,36,43
2010-08-29,30,40
2010-09-05,35,36
2010-09-12,51,45
2010-09-19,52,40
2010-09-26,47,35
2010-10-03,52,37
2010-10-10,57,37
2010-10-17,49,35
2010-10-24,55,32
2010-10-31,62,35
2010-11-07,60,39
2010-11-14,61,37
2010-11-21,60,37
2010-11-28,57,36
2010-12-05,55,30
2010-12-12,47,29
2010-12-19,33,28
2010-12-26,29,26
