Category: All categories

Week,Energy: (Portugal),Gasoline: (Portugal)
2006-01-01,65,9
2006-01-08,66,6
2006-01-15,60,7
2006-01-22,52,9
2006-01-29,58,8
2006-02-05,63,3
2006-02-12,44,0
2006-02-19,66,6
2006-02-26,56,5
2006-03-05,55,4
2006-03-12,57,0
2006-03-19,60,7
2006-03-26,51,5
2006-04-02,44,7
2006-04-09,42,13
2006-04-16,62,7
2006-04-23,63,0
2006-04-30,83,9
2006-05-07,92,5
2006-05-14,86,4
2006-05-21,100,11
2006-05-28,75,8
2006-06-04,97,4
2006-06-11,60,7
2006-06-18,41,3
2006-06-25,38,3
2006-07-02,33,7
2006-07-09,33,5
2006-07-16,33,3
2006-07-23,34,0
2006-07-30,28,6
2006-08-06,30,4
2006-08-13,28,11
2006-08-20,24,7
2006-08-27,35,8
2006-09-03,26,7
2006-09-10,28,4
2006-09-17,40,10
2006-09-24,52,10
2006-10-01,61,3
2006-10-08,55,3
2006-10-15,51,9
2006-10-22,62,10
2006-10-29,49,11
2006-11-05,54,8
2006-11-12,45,0
2006-11-19,56,0
2006-11-26,50,6
2006-12-03,47,6
2006-12-10,48,6
2006-12-17,32,4
2006-12-24,29,0
2006-12-31,39,4
