Category: All categories

Week,Energy: (Portugal),Hairdresser: (Portugal)
2017-01-01,62,44
2017-01-08,81,49
2017-01-15,92,47
2017-01-22,79,47
2017-01-29,78,48
2017-02-05,77,49
2017-02-12,76,52
2017-02-19,77,46
2017-02-26,77,51
2017-03-05,85,50
2017-03-12,88,43
2017-03-19,80,45
2017-03-26,88,41
2017-04-02,68,52
2017-04-09,67,57
2017-04-16,66,43
2017-04-23,77,56
2017-04-30,82,55
2017-05-07,85,50
2017-05-14,87,54
2017-05-21,86,49
2017-05-28,100,57
2017-06-04,88,60
2017-06-11,75,56
2017-06-18,58,55
2017-06-25,57,50
2017-07-02,65,57
2017-07-09,53,53
2017-07-16,61,54
2017-07-23,48,61
2017-07-30,53,56
2017-08-06,47,66
2017-08-13,47,59
2017-08-20,50,55
2017-08-27,52,57
2017-09-03,53,62
2017-09-10,54,65
2017-09-17,60,57
2017-09-24,63,54
2017-10-01,61,56
2017-10-08,67,52
2017-10-15,73,47
2017-10-22,66,45
2017-10-29,62,45
2017-11-05,69,49
2017-11-12,85,45
2017-11-19,68,45
2017-11-26,72,51
2017-12-03,64,47
2017-12-10,74,52
2017-12-17,57,53
2017-12-24,64,57
2017-12-31,77,56
