Category: All categories

Week,Energy: (Portugal),Interior design: (Portugal)
2016-01-03,86,83
2016-01-10,76,88
2016-01-17,82,85
2016-01-24,75,92
2016-01-31,70,90
2016-02-07,62,100
2016-02-14,73,88
2016-02-21,80,83
2016-02-28,83,91
2016-03-06,78,91
2016-03-13,72,78
2016-03-20,62,80
2016-03-27,61,82
2016-04-03,74,85
2016-04-10,80,81
2016-04-17,80,77
2016-04-24,79,77
2016-05-01,86,69
2016-05-08,88,79
2016-05-15,92,78
2016-05-22,86,82
2016-05-29,89,72
2016-06-05,70,74
2016-06-12,76,80
2016-06-19,53,70
2016-06-26,57,64
2016-07-03,53,61
2016-07-10,52,62
2016-07-17,54,60
2016-07-24,52,68
2016-07-31,43,79
2016-08-07,41,72
2016-08-14,41,70
2016-08-21,48,86
2016-08-28,61,79
2016-09-04,54,81
2016-09-11,55,85
2016-09-18,62,83
2016-09-25,69,76
2016-10-02,68,79
2016-10-09,66,92
2016-10-16,69,91
2016-10-23,71,87
2016-10-30,65,90
2016-11-06,82,84
2016-11-13,75,85
2016-11-20,73,85
2016-11-27,71,83
2016-12-04,63,80
2016-12-11,58,66
2016-12-18,44,54
2016-12-25,52,68
