Category: All categories

Week,Energy: (Portugal),Jam: (Portugal)
2017-01-01,57,32
2017-01-08,75,37
2017-01-15,84,44
2017-01-22,72,40
2017-01-29,72,47
2017-02-05,71,47
2017-02-12,70,45
2017-02-19,71,41
2017-02-26,71,40
2017-03-05,78,40
2017-03-12,80,44
2017-03-19,73,42
2017-03-26,81,39
2017-04-02,62,40
2017-04-09,61,65
2017-04-16,61,37
2017-04-23,70,34
2017-04-30,75,35
2017-05-07,79,35
2017-05-14,80,42
2017-05-21,79,38
2017-05-28,92,43
2017-06-04,81,39
2017-06-11,69,45
2017-06-18,54,38
2017-06-25,52,45
2017-07-02,60,43
2017-07-09,49,40
2017-07-16,56,44
2017-07-23,44,40
2017-07-30,49,52
2017-08-06,43,47
2017-08-13,43,67
2017-08-20,46,62
2017-08-27,48,67
2017-09-03,49,50
2017-09-10,49,45
2017-09-17,55,48
2017-09-24,58,58
2017-10-01,56,55
2017-10-08,62,47
2017-10-15,67,41
2017-10-22,61,54
2017-10-29,57,44
2017-11-05,63,49
2017-11-12,78,50
2017-11-19,62,46
2017-11-26,66,48
2017-12-03,59,53
2017-12-10,68,54
2017-12-17,52,100
2017-12-24,59,97
2017-12-31,70,45
