Category: All categories

Week,Energy: (Portugal),Lawyer: (Portugal)
2009-01-04,93,26
2009-01-11,78,25
2009-01-18,71,29
2009-01-25,73,21
2009-02-01,67,25
2009-02-08,72,22
2009-02-15,90,20
2009-02-22,71,24
2009-03-01,100,29
2009-03-08,88,26
2009-03-15,82,24
2009-03-22,89,30
2009-03-29,58,23
2009-04-05,60,25
2009-04-12,79,27
2009-04-19,79,28
2009-04-26,79,28
2009-05-03,82,24
2009-05-10,77,26
2009-05-17,76,27
2009-05-24,96,32
2009-05-31,77,26
2009-06-07,58,13
2009-06-14,71,22
2009-06-21,52,24
2009-06-28,53,25
2009-07-05,57,27
2009-07-12,50,22
2009-07-19,44,28
2009-07-26,44,22
2009-08-02,40,20
2009-08-09,39,23
2009-08-16,33,20
2009-08-23,35,22
2009-08-30,40,25
2009-09-06,31,31
2009-09-13,48,25
2009-09-20,49,25
2009-09-27,53,29
2009-10-04,51,27
2009-10-11,55,35
2009-10-18,63,24
2009-10-25,58,24
2009-11-01,67,27
2009-11-08,66,25
2009-11-15,70,26
2009-11-22,60,33
2009-11-29,55,21
2009-12-06,58,19
2009-12-13,61,24
2009-12-20,32,16
2009-12-27,36,14
