Category: All categories

Week,Energy: (Portugal),Life insurance: (Portugal)
2018-01-07,82,3
2018-01-14,86,3
2018-01-21,85,3
2018-01-28,79,3
2018-02-04,72,6
2018-02-11,71,6
2018-02-18,82,6
2018-02-25,78,5
2018-03-04,82,5
2018-03-11,95,3
2018-03-18,83,4
2018-03-25,85,4
2018-04-01,82,3
2018-04-08,79,3
2018-04-15,90,5
2018-04-22,85,3
2018-04-29,89,1
2018-05-06,79,4
2018-05-13,80,2
2018-05-20,92,4
2018-05-27,77,3
2018-06-03,100,3
2018-06-10,82,5
2018-06-17,67,3
2018-06-24,59,4
2018-07-01,58,4
2018-07-08,55,3
2018-07-15,60,0
2018-07-22,59,4
2018-07-29,55,5
2018-08-05,51,4
2018-08-12,53,4
2018-08-19,55,5
2018-08-26,54,2
2018-09-02,59,3
2018-09-09,56,4
2018-09-16,59,4
2018-09-23,76,5
2018-09-30,69,2
2018-10-07,88,3
2018-10-14,74,4
2018-10-21,76,6
2018-10-28,68,2
2018-11-04,75,8
2018-11-11,76,5
2018-11-18,79,2
2018-11-25,81,5
2018-12-02,81,5
2018-12-09,66,3
2018-12-16,63,4
2018-12-23,49,3
2018-12-30,65,2
