Category: All categories

Week,Energy: (Portugal),Lingerie: (Portugal)
2009-01-04,95,13
2009-01-11,80,14
2009-01-18,72,8
2009-01-25,77,13
2009-02-01,69,14
2009-02-08,74,15
2009-02-15,88,11
2009-02-22,71,11
2009-03-01,100,9
2009-03-08,93,10
2009-03-15,80,10
2009-03-22,93,9
2009-03-29,60,9
2009-04-05,58,8
2009-04-12,81,14
2009-04-19,79,11
2009-04-26,80,18
2009-05-03,87,9
2009-05-10,78,12
2009-05-17,80,14
2009-05-24,94,10
2009-05-31,78,7
2009-06-07,56,11
2009-06-14,72,6
2009-06-21,53,7
2009-06-28,54,7
2009-07-05,59,7
2009-07-12,52,7
2009-07-19,46,7
2009-07-26,46,9
2009-08-02,39,9
2009-08-09,39,10
2009-08-16,29,9
2009-08-23,36,9
2009-08-30,40,9
2009-09-06,31,8
2009-09-13,51,9
2009-09-20,48,7
2009-09-27,53,8
2009-10-04,53,6
2009-10-11,56,8
2009-10-18,65,7
2009-10-25,57,6
2009-11-01,67,4
2009-11-08,64,8
2009-11-15,70,9
2009-11-22,60,9
2009-11-29,54,14
2009-12-06,61,10
2009-12-13,63,13
2009-12-20,34,7
2009-12-27,36,9
