Category: All categories

Week,Energy: (Portugal),Mercedes-Benz: (Portugal)
2014-01-05,63,87
2014-01-12,59,89
2014-01-19,59,82
2014-01-26,61,84
2014-02-02,54,74
2014-02-09,59,69
2014-02-16,53,85
2014-02-23,56,87
2014-03-02,51,90
2014-03-09,53,85
2014-03-16,60,95
2014-03-23,63,78
2014-03-30,57,67
2014-04-06,46,67
2014-04-13,45,68
2014-04-20,50,78
2014-04-27,50,73
2014-05-04,58,77
2014-05-11,64,75
2014-05-18,74,67
2014-05-25,74,71
2014-06-01,72,74
2014-06-08,65,69
2014-06-15,62,64
2014-06-22,58,72
2014-06-29,51,73
2014-07-06,51,87
2014-07-13,45,75
2014-07-20,38,78
2014-07-27,38,69
2014-08-03,35,76
2014-08-10,30,82
2014-08-17,38,78
2014-08-24,34,78
2014-08-31,46,79
2014-09-07,42,85
2014-09-14,49,90
2014-09-21,49,88
2014-09-28,53,77
2014-10-05,58,78
2014-10-12,52,86
2014-10-19,47,82
2014-10-26,55,79
2014-11-02,53,79
2014-11-09,56,88
2014-11-16,50,85
2014-11-23,49,84
2014-11-30,47,81
2014-12-07,55,83
2014-12-14,48,83
2014-12-21,43,80
2014-12-28,54,100
