Category: All categories

Week,Energy: (Portugal),Mobile phone: (Portugal)
2010-01-03,28,100
2010-01-10,30,81
2010-01-17,30,78
2010-01-24,31,78
2010-01-31,32,68
2010-02-07,28,73
2010-02-14,23,77
2010-02-21,29,69
2010-02-28,28,70
2010-03-07,29,69
2010-03-14,27,72
2010-03-21,26,63
2010-03-28,17,69
2010-04-04,24,69
2010-04-11,31,66
2010-04-18,36,63
2010-04-25,31,63
2010-05-02,35,69
2010-05-09,33,74
2010-05-16,41,68
2010-05-23,42,65
2010-05-30,35,60
2010-06-06,29,68
2010-06-13,21,68
2010-06-20,17,65
2010-06-27,18,78
2010-07-04,19,74
2010-07-11,15,76
2010-07-18,15,78
2010-07-25,20,78
2010-08-01,16,77
2010-08-08,15,78
2010-08-15,15,84
2010-08-22,15,77
2010-08-29,13,77
2010-09-05,16,73
2010-09-12,21,71
2010-09-19,23,72
2010-09-26,23,68
2010-10-03,21,67
2010-10-10,25,65
2010-10-17,21,63
2010-10-24,23,67
2010-10-31,26,68
2010-11-07,25,67
2010-11-14,29,66
2010-11-21,26,69
2010-11-28,25,69
2010-12-05,24,76
2010-12-12,21,76
2010-12-19,13,90
2010-12-26,12,86
