Category: All categories

Week,Energy: (Portugal),Natural gas: (Portugal)
2013-01-06,85,15
2013-01-13,81,15
2013-01-20,88,16
2013-01-27,79,15
2013-02-03,76,15
2013-02-10,62,13
2013-02-17,78,12
2013-02-24,84,13
2013-03-03,88,14
2013-03-10,73,10
2013-03-17,60,10
2013-03-24,70,10
2013-03-31,75,12
2013-04-07,88,13
2013-04-14,82,14
2013-04-21,76,7
2013-04-28,83,9
2013-05-05,79,12
2013-05-12,89,11
2013-05-19,97,12
2013-05-26,99,12
2013-06-02,81,12
2013-06-09,63,12
2013-06-16,64,12
2013-06-23,55,11
2013-06-30,47,9
2013-07-07,49,10
2013-07-14,55,10
2013-07-21,48,9
2013-07-28,41,10
2013-08-04,40,10
2013-08-11,34,8
2013-08-18,43,9
2013-08-25,43,10
2013-09-01,46,10
2013-09-08,52,10
2013-09-15,54,8
2013-09-22,59,11
2013-09-29,65,8
2013-10-06,65,9
2013-10-13,65,8
2013-10-20,68,10
2013-10-27,71,14
2013-11-03,75,11
2013-11-10,72,11
2013-11-17,75,16
2013-11-24,88,18
2013-12-01,100,19
2013-12-08,88,16
2013-12-15,67,13
2013-12-22,56,9
2013-12-29,65,13
