Category: All categories

Week,Energy: (Portugal),Nightclub: (Portugal)
2013-01-06,85,13
2013-01-13,81,17
2013-01-20,88,15
2013-01-27,79,23
2013-02-03,76,15
2013-02-10,62,16
2013-02-17,78,13
2013-02-24,84,16
2013-03-03,88,14
2013-03-10,73,13
2013-03-17,60,13
2013-03-24,70,18
2013-03-31,75,16
2013-04-07,88,14
2013-04-14,82,15
2013-04-21,76,11
2013-04-28,83,12
2013-05-05,79,12
2013-05-12,89,11
2013-05-19,97,11
2013-05-26,99,13
2013-06-02,81,14
2013-06-09,63,17
2013-06-16,64,13
2013-06-23,55,14
2013-06-30,47,15
2013-07-07,49,18
2013-07-14,55,17
2013-07-21,48,14
2013-07-28,41,22
2013-08-04,40,21
2013-08-11,34,19
2013-08-18,43,23
2013-08-25,43,18
2013-09-01,46,15
2013-09-08,52,16
2013-09-15,54,13
2013-09-22,59,13
2013-09-29,65,12
2013-10-06,65,14
2013-10-13,65,14
2013-10-20,68,12
2013-10-27,71,11
2013-11-03,75,13
2013-11-10,72,10
2013-11-17,75,7
2013-11-24,88,11
2013-12-01,100,14
2013-12-08,88,11
2013-12-15,67,14
2013-12-22,56,19
2013-12-29,65,24
