Category: All categories

Week,Energy: (Portugal),Novel: (Portugal)
2018-01-07,83,21
2018-01-14,85,17
2018-01-21,87,21
2018-01-28,79,17
2018-02-04,75,14
2018-02-11,73,17
2018-02-18,83,13
2018-02-25,82,12
2018-03-04,80,18
2018-03-11,94,17
2018-03-18,87,17
2018-03-25,84,19
2018-04-01,84,15
2018-04-08,82,12
2018-04-15,90,16
2018-04-22,90,16
2018-04-29,85,15
2018-05-06,79,15
2018-05-13,83,15
2018-05-20,94,16
2018-05-27,80,18
2018-06-03,100,17
2018-06-10,84,14
2018-06-17,67,15
2018-06-24,58,15
2018-07-01,57,21
2018-07-08,54,18
2018-07-15,58,14
2018-07-22,59,19
2018-07-29,57,14
2018-08-05,50,16
2018-08-12,51,13
2018-08-19,57,15
2018-08-26,55,16
2018-09-02,61,16
2018-09-09,56,16
2018-09-16,59,13
2018-09-23,79,16
2018-09-30,69,12
2018-10-07,91,11
2018-10-14,74,14
2018-10-21,77,11
2018-10-28,70,18
2018-11-04,75,12
2018-11-11,78,10
2018-11-18,77,14
2018-11-25,85,12
2018-12-02,81,15
2018-12-09,70,18
2018-12-16,61,11
2018-12-23,50,17
2018-12-30,65,17
