Category: All categories

Week,Energy: (Portugal),Petroleum: (Portugal)
2018-01-07,84,18
2018-01-14,86,17
2018-01-21,86,15
2018-01-28,79,18
2018-02-04,76,17
2018-02-11,73,18
2018-02-18,83,18
2018-02-25,82,17
2018-03-04,80,17
2018-03-11,94,15
2018-03-18,87,15
2018-03-25,84,11
2018-04-01,84,16
2018-04-08,82,14
2018-04-15,90,17
2018-04-22,91,18
2018-04-29,86,16
2018-05-06,80,22
2018-05-13,84,27
2018-05-20,94,25
2018-05-27,80,25
2018-06-03,100,21
2018-06-10,84,15
2018-06-17,66,14
2018-06-24,58,17
2018-07-01,57,15
2018-07-08,54,16
2018-07-15,58,11
2018-07-22,59,11
2018-07-29,57,14
2018-08-05,50,14
2018-08-12,51,13
2018-08-19,57,9
2018-08-26,54,5
2018-09-02,61,15
2018-09-09,56,15
2018-09-16,59,12
2018-09-23,79,19
2018-09-30,69,15
2018-10-07,91,15
2018-10-14,75,16
2018-10-21,77,19
2018-10-28,70,22
2018-11-04,75,16
2018-11-11,77,20
2018-11-18,77,23
2018-11-25,85,22
2018-12-02,80,20
2018-12-09,70,21
2018-12-16,61,17
2018-12-23,50,26
2018-12-30,65,16
