Category: All categories

Week,Energy: (Portugal),Potato: (Portugal)
2012-01-01,74,26
2012-01-08,85,33
2012-01-15,84,29
2012-01-22,81,29
2012-01-29,70,29
2012-02-05,81,29
2012-02-12,73,33
2012-02-19,64,32
2012-02-26,77,33
2012-03-04,77,34
2012-03-11,84,31
2012-03-18,81,27
2012-03-25,64,25
2012-04-01,53,30
2012-04-08,68,26
2012-04-15,89,29
2012-04-22,75,33
2012-04-29,81,30
2012-05-06,90,29
2012-05-13,97,25
2012-05-20,95,22
2012-05-27,100,23
2012-06-03,83,23
2012-06-10,77,33
2012-06-17,67,28
2012-06-24,72,24
2012-07-01,67,25
2012-07-08,60,27
2012-07-15,51,29
2012-07-22,46,29
2012-07-29,42,25
2012-08-05,42,25
2012-08-12,41,25
2012-08-19,45,27
2012-08-26,46,25
2012-09-02,46,24
2012-09-09,58,26
2012-09-16,66,30
2012-09-23,56,25
2012-09-30,52,30
2012-10-07,58,32
2012-10-14,61,40
2012-10-21,62,38
2012-10-28,63,43
2012-11-04,67,36
2012-11-11,63,39
2012-11-18,66,37
2012-11-25,71,37
2012-12-02,69,34
2012-12-09,67,34
2012-12-16,56,40
2012-12-23,64,44
2012-12-30,72,37
