Category: All categories

Week,Energy: (Portugal),Real Estate: (Portugal)
2012-01-01,53,93
2012-01-08,61,90
2012-01-15,60,89
2012-01-22,58,92
2012-01-29,50,89
2012-02-05,58,85
2012-02-12,53,85
2012-02-19,46,86
2012-02-26,55,83
2012-03-04,55,85
2012-03-11,60,80
2012-03-18,58,80
2012-03-25,46,76
2012-04-01,38,76
2012-04-08,49,81
2012-04-15,64,94
2012-04-22,54,82
2012-04-29,58,84
2012-05-06,65,77
2012-05-13,70,79
2012-05-20,68,78
2012-05-27,72,74
2012-06-03,59,75
2012-06-10,56,73
2012-06-17,48,67
2012-06-24,52,69
2012-07-01,48,75
2012-07-08,43,80
2012-07-15,37,81
2012-07-22,33,82
2012-07-29,30,82
2012-08-05,30,83
2012-08-12,29,89
2012-08-19,32,96
2012-08-26,33,100
2012-09-02,33,86
2012-09-09,41,83
2012-09-16,47,80
2012-09-23,40,81
2012-09-30,37,80
2012-10-07,42,80
2012-10-14,44,75
2012-10-21,45,82
2012-10-28,45,72
2012-11-04,48,77
2012-11-11,45,73
2012-11-18,47,71
2012-11-25,51,75
2012-12-02,49,68
2012-12-09,48,59
2012-12-16,40,57
2012-12-23,46,66
2012-12-30,51,74
