Category: All categories

Week,Energy: (Portugal),Renovation: (Portugal)
2017-01-01,61,7
2017-01-08,86,6
2017-01-15,92,8
2017-01-22,82,8
2017-01-29,80,6
2017-02-05,81,3
2017-02-12,80,7
2017-02-19,81,6
2017-02-26,75,5
2017-03-05,88,6
2017-03-12,88,7
2017-03-19,84,13
2017-03-26,90,6
2017-04-02,67,6
2017-04-09,65,5
2017-04-16,67,7
2017-04-23,82,5
2017-04-30,85,4
2017-05-07,87,5
2017-05-14,86,9
2017-05-21,89,8
2017-05-28,100,7
2017-06-04,89,5
2017-06-11,80,4
2017-06-18,61,6
2017-06-25,61,6
2017-07-02,65,4
2017-07-09,57,5
2017-07-16,62,5
2017-07-23,48,8
2017-07-30,53,5
2017-08-06,48,5
2017-08-13,47,5
2017-08-20,51,6
2017-08-27,54,7
2017-09-03,55,5
2017-09-10,57,6
2017-09-17,60,8
2017-09-24,63,4
2017-10-01,64,10
2017-10-08,70,7
2017-10-15,74,4
2017-10-22,68,6
2017-10-29,65,4
2017-11-05,69,2
2017-11-12,87,3
2017-11-19,68,7
2017-11-26,75,5
2017-12-03,71,7
2017-12-10,75,4
2017-12-17,59,3
2017-12-24,67,4
2017-12-31,77,7
