Category: All categories

Week,Energy: (Portugal),Restaurant: (Portugal)
2013-01-06,16,49
2013-01-13,16,49
2013-01-20,18,52
2013-01-27,16,56
2013-02-03,16,65
2013-02-10,13,84
2013-02-17,16,52
2013-02-24,17,56
2013-03-03,18,65
2013-03-10,14,64
2013-03-17,12,64
2013-03-24,14,66
2013-03-31,15,57
2013-04-07,18,54
2013-04-14,16,58
2013-04-21,15,57
2013-04-28,17,67
2013-05-05,16,59
2013-05-12,18,63
2013-05-19,19,62
2013-05-26,20,61
2013-06-02,17,60
2013-06-09,13,61
2013-06-16,12,56
2013-06-23,11,63
2013-06-30,9,61
2013-07-07,10,60
2013-07-14,11,67
2013-07-21,10,72
2013-07-28,8,78
2013-08-04,8,84
2013-08-11,7,100
2013-08-18,9,86
2013-08-25,9,80
2013-09-01,9,73
2013-09-08,10,69
2013-09-15,11,63
2013-09-22,11,63
2013-09-29,13,56
2013-10-06,14,66
2013-10-13,13,63
2013-10-20,14,60
2013-10-27,14,64
2013-11-03,15,59
2013-11-10,14,63
2013-11-17,15,66
2013-11-24,18,72
2013-12-01,20,71
2013-12-08,18,80
2013-12-15,14,76
2013-12-22,11,79
2013-12-29,13,87
