Category: All categories

Week,Energy: (Portugal),Used car: (Portugal)
2009-01-04,95,49
2009-01-11,80,43
2009-01-18,72,58
2009-01-25,77,42
2009-02-01,69,50
2009-02-08,74,48
2009-02-15,88,52
2009-02-22,71,57
2009-03-01,100,52
2009-03-08,93,48
2009-03-15,80,52
2009-03-22,93,56
2009-03-29,60,44
2009-04-05,58,53
2009-04-12,81,52
2009-04-19,79,54
2009-04-26,80,45
2009-05-03,87,43
2009-05-10,78,51
2009-05-17,80,45
2009-05-24,94,45
2009-05-31,78,43
2009-06-07,56,50
2009-06-14,72,49
2009-06-21,53,48
2009-06-28,54,48
2009-07-05,59,52
2009-07-12,52,52
2009-07-19,46,54
2009-07-26,46,55
2009-08-02,39,57
2009-08-09,39,52
2009-08-16,29,60
2009-08-23,36,57
2009-08-30,40,58
2009-09-06,31,55
2009-09-13,51,59
2009-09-20,48,51
2009-09-27,53,54
2009-10-04,53,60
2009-10-11,56,54
2009-10-18,65,61
2009-10-25,57,49
2009-11-01,67,49
2009-11-08,64,50
2009-11-15,70,49
2009-11-22,60,54
2009-11-29,54,53
2009-12-06,61,46
2009-12-13,63,44
2009-12-20,34,55
2009-12-27,36,54
