Category: All categories

Week,Energy: (Portugal),Shoes: (Portugal)
2017-01-01,35,83
2017-01-08,46,78
2017-01-15,52,71
2017-01-22,45,84
2017-01-29,44,76
2017-02-05,44,76
2017-02-12,43,74
2017-02-19,44,80
2017-02-26,44,81
2017-03-05,48,81
2017-03-12,50,85
2017-03-19,45,85
2017-03-26,50,88
2017-04-02,39,94
2017-04-09,38,100
2017-04-16,38,86
2017-04-23,44,88
2017-04-30,46,91
2017-05-07,49,88
2017-05-14,50,88
2017-05-21,49,99
2017-05-28,57,96
2017-06-04,50,95
2017-06-11,43,83
2017-06-18,33,76
2017-06-25,32,79
2017-07-02,37,92
2017-07-09,30,85
2017-07-16,35,77
2017-07-23,28,76
2017-07-30,30,81
2017-08-06,27,80
2017-08-13,27,73
2017-08-20,29,78
2017-08-27,29,79
2017-09-03,30,76
2017-09-10,31,91
2017-09-17,34,98
2017-09-24,36,98
2017-10-01,35,85
2017-10-08,38,94
2017-10-15,42,95
2017-10-22,38,92
2017-10-29,36,97
2017-11-05,39,97
2017-11-12,49,92
2017-11-19,39,92
2017-11-26,41,87
2017-12-03,37,97
2017-12-10,42,93
2017-12-17,33,80
2017-12-24,37,94
2017-12-31,44,81
