Category: All categories

Week,Energy: (Portugal),T-shirt: (Portugal)
2013-01-06,85,25
2013-01-13,81,28
2013-01-20,87,30
2013-01-27,77,38
2013-02-03,76,32
2013-02-10,63,32
2013-02-17,76,32
2013-02-24,82,36
2013-03-03,87,36
2013-03-10,70,43
2013-03-17,61,39
2013-03-24,70,39
2013-03-31,75,36
2013-04-07,89,40
2013-04-14,80,45
2013-04-21,75,41
2013-04-28,86,49
2013-05-05,78,44
2013-05-12,89,49
2013-05-19,97,47
2013-05-26,100,53
2013-06-02,81,45
2013-06-09,63,45
2013-06-16,62,47
2013-06-23,55,47
2013-06-30,49,50
2013-07-07,49,47
2013-07-14,54,41
2013-07-21,47,43
2013-07-28,40,40
2013-08-04,39,47
2013-08-11,34,50
2013-08-18,42,42
2013-08-25,44,47
2013-09-01,44,40
2013-09-08,51,37
2013-09-15,53,33
2013-09-22,59,37
2013-09-29,65,35
2013-10-06,65,36
2013-10-13,63,39
2013-10-20,67,39
2013-10-27,69,34
2013-11-03,71,36
2013-11-10,72,38
2013-11-17,74,39
2013-11-24,87,42
2013-12-01,98,37
2013-12-08,87,40
2013-12-15,65,41
2013-12-22,54,31
2013-12-29,65,30
