Category: All categories

Week,Energy: (Portugal),Television: (Portugal)
2012-01-01,8,65
2012-01-08,9,55
2012-01-15,9,69
2012-01-22,9,72
2012-01-29,7,62
2012-02-05,9,60
2012-02-12,8,67
2012-02-19,7,76
2012-02-26,8,75
2012-03-04,8,73
2012-03-11,9,68
2012-03-18,9,67
2012-03-25,7,76
2012-04-01,6,63
2012-04-08,7,79
2012-04-15,9,66
2012-04-22,8,66
2012-04-29,9,67
2012-05-06,10,48
2012-05-13,10,47
2012-05-20,10,43
2012-05-27,11,40
2012-06-03,9,56
2012-06-10,8,67
2012-06-17,7,46
2012-06-24,8,39
2012-07-01,7,38
2012-07-08,6,43
2012-07-15,5,51
2012-07-22,5,51
2012-07-29,4,48
2012-08-05,4,44
2012-08-12,4,53
2012-08-19,5,67
2012-08-26,5,74
2012-09-02,5,54
2012-09-09,6,51
2012-09-16,7,89
2012-09-23,6,82
2012-09-30,5,76
2012-10-07,6,91
2012-10-14,7,70
2012-10-21,7,100
2012-10-28,7,86
2012-11-04,7,87
2012-11-11,7,52
2012-11-18,7,53
2012-11-25,8,51
2012-12-02,7,65
2012-12-09,7,85
2012-12-16,6,58
2012-12-23,7,64
2012-12-30,8,75
