Category: All categories

Week,Energy: (Portugal),Lumber: (Portugal)
2012-01-01,74,0
2012-01-08,85,1
2012-01-15,84,2
2012-01-22,81,1
2012-01-29,70,1
2012-02-05,81,0
2012-02-12,73,2
2012-02-19,64,0
2012-02-26,77,2
2012-03-04,77,0
2012-03-11,84,0
2012-03-18,81,0
2012-03-25,64,3
2012-04-01,53,1
2012-04-08,68,0
2012-04-15,89,2
2012-04-22,75,1
2012-04-29,81,0
2012-05-06,90,2
2012-05-13,97,1
2012-05-20,95,1
2012-05-27,100,5
2012-06-03,83,1
2012-06-10,77,1
2012-06-17,67,1
2012-06-24,72,6
2012-07-01,67,1
2012-07-08,60,2
2012-07-15,51,0
2012-07-22,46,1
2012-07-29,42,2
2012-08-05,42,0
2012-08-12,41,0
2012-08-19,45,3
2012-08-26,46,1
2012-09-02,46,0
2012-09-09,58,1
2012-09-16,66,0
2012-09-23,56,1
2012-09-30,52,3
2012-10-07,58,3
2012-10-14,61,0
2012-10-21,62,1
2012-10-28,63,1
2012-11-04,67,1
2012-11-11,63,0
2012-11-18,66,2
2012-11-25,71,0
2012-12-02,69,0
2012-12-09,67,2
2012-12-16,56,3
2012-12-23,64,1
2012-12-30,72,1
