Category: All categories

Week,Energy: (Portugal),Travel agency: (Portugal)
2013-01-06,85,14
2013-01-13,81,17
2013-01-20,88,14
2013-01-27,79,11
2013-02-03,76,13
2013-02-10,62,14
2013-02-17,78,20
2013-02-24,84,17
2013-03-03,88,19
2013-03-10,73,20
2013-03-17,60,19
2013-03-24,70,17
2013-03-31,75,19
2013-04-07,88,23
2013-04-14,82,21
2013-04-21,76,22
2013-04-28,83,16
2013-05-05,79,20
2013-05-12,89,18
2013-05-19,97,18
2013-05-26,99,19
2013-06-02,81,18
2013-06-09,63,17
2013-06-16,64,22
2013-06-23,55,19
2013-06-30,47,24
2013-07-07,49,24
2013-07-14,55,24
2013-07-21,48,20
2013-07-28,41,25
2013-08-04,40,23
2013-08-11,34,18
2013-08-18,43,16
2013-08-25,43,14
2013-09-01,46,15
2013-09-08,52,12
2013-09-15,54,10
2013-09-22,59,13
2013-09-29,65,12
2013-10-06,65,16
2013-10-13,65,12
2013-10-20,68,11
2013-10-27,71,11
2013-11-03,75,14
2013-11-10,72,9
2013-11-17,75,11
2013-11-24,88,13
2013-12-01,100,11
2013-12-08,88,7
2013-12-15,67,9
2013-12-22,56,10
2013-12-29,65,15
