Category: All categories

Week,Energy: (Portugal),Underwear: (Portugal)
2009-01-04,95,5
2009-01-11,80,4
2009-01-18,72,5
2009-01-25,77,5
2009-02-01,69,3
2009-02-08,74,5
2009-02-15,88,6
2009-02-22,71,4
2009-03-01,100,5
2009-03-08,93,3
2009-03-15,80,3
2009-03-22,93,6
2009-03-29,60,4
2009-04-05,58,5
2009-04-12,81,5
2009-04-19,79,4
2009-04-26,80,2
2009-05-03,87,5
2009-05-10,78,4
2009-05-17,80,4
2009-05-24,94,5
2009-05-31,78,4
2009-06-07,56,4
2009-06-14,72,5
2009-06-21,53,3
2009-06-28,54,4
2009-07-05,59,4
2009-07-12,52,5
2009-07-19,46,3
2009-07-26,46,2
2009-08-02,39,4
2009-08-09,39,5
2009-08-16,29,5
2009-08-23,36,3
2009-08-30,40,4
2009-09-06,31,3
2009-09-13,51,5
2009-09-20,48,2
2009-09-27,53,4
2009-10-04,53,3
2009-10-11,56,4
2009-10-18,65,4
2009-10-25,57,3
2009-11-01,67,4
2009-11-08,64,6
2009-11-15,70,3
2009-11-22,60,5
2009-11-29,54,5
2009-12-06,61,5
2009-12-13,63,6
2009-12-20,34,3
2009-12-27,36,5
