Category: All categories

Week,Energy: (Portugal),Veterinarians: (Portugal)
2008-01-06,71,7
2008-01-13,66,10
2008-01-20,61,4
2008-01-27,62,8
2008-02-03,54,5
2008-02-10,61,6
2008-02-17,73,6
2008-02-24,73,4
2008-03-02,72,6
2008-03-09,60,3
2008-03-16,53,9
2008-03-23,47,8
2008-03-30,74,6
2008-04-06,68,5
2008-04-13,68,7
2008-04-20,82,8
2008-04-27,66,7
2008-05-04,89,7
2008-05-11,82,5
2008-05-18,90,6
2008-05-25,100,7
2008-06-01,95,8
2008-06-08,76,7
2008-06-15,69,10
2008-06-22,55,6
2008-06-29,50,9
2008-07-06,51,6
2008-07-13,60,7
2008-07-20,35,6
2008-07-27,31,5
2008-08-03,34,11
2008-08-10,28,9
2008-08-17,38,8
2008-08-24,32,9
2008-08-31,36,8
2008-09-07,39,7
2008-09-14,52,7
2008-09-21,59,5
2008-09-28,61,9
2008-10-05,66,4
2008-10-12,60,5
2008-10-19,58,11
2008-10-26,59,8
2008-11-02,53,6
2008-11-09,65,9
2008-11-16,72,5
2008-11-23,61,10
2008-11-30,57,5
2008-12-07,54,9
2008-12-14,63,7
2008-12-21,40,5
2008-12-28,51,6
