Category: All categories

Week,Energy: (Portugal),Video game: (Portugal)
2006-01-01,25,74
2006-01-08,26,69
2006-01-15,23,75
2006-01-22,20,61
2006-01-29,22,66
2006-02-05,25,63
2006-02-12,17,62
2006-02-19,26,63
2006-02-26,22,68
2006-03-05,21,70
2006-03-12,22,64
2006-03-19,23,73
2006-03-26,20,81
2006-04-02,17,74
2006-04-09,16,77
2006-04-16,24,65
2006-04-23,24,65
2006-04-30,32,67
2006-05-07,36,65
2006-05-14,33,60
2006-05-21,39,60
2006-05-28,29,64
2006-06-04,38,64
2006-06-11,23,82
2006-06-18,16,67
2006-06-25,15,70
2006-07-02,13,81
2006-07-09,13,81
2006-07-16,13,81
2006-07-23,13,83
2006-07-30,11,93
2006-08-06,12,84
2006-08-13,11,98
2006-08-20,9,90
2006-08-27,14,81
2006-09-03,10,80
2006-09-10,11,75
2006-09-17,16,72
2006-09-24,20,74
2006-10-01,24,76
2006-10-08,21,73
2006-10-15,20,66
2006-10-22,24,69
2006-10-29,19,75
2006-11-05,21,73
2006-11-12,17,70
2006-11-19,22,75
2006-11-26,19,72
2006-12-03,18,86
2006-12-10,18,75
2006-12-17,12,99
2006-12-24,11,100
2006-12-31,15,93
