Category: All categories

Week,Energy: (Portugal),Vitamin: (Portugal)
2014-01-05,82,23
2014-01-12,80,24
2014-01-19,79,25
2014-01-26,79,21
2014-02-02,74,24
2014-02-09,79,24
2014-02-16,70,25
2014-02-23,76,24
2014-03-02,67,18
2014-03-09,70,27
2014-03-16,79,33
2014-03-23,83,24
2014-03-30,77,26
2014-04-06,60,21
2014-04-13,59,26
2014-04-20,67,24
2014-04-27,66,27
2014-05-04,76,24
2014-05-11,86,28
2014-05-18,100,22
2014-05-25,99,26
2014-06-01,97,26
2014-06-08,86,26
2014-06-15,81,26
2014-06-22,79,20
2014-06-29,65,25
2014-07-06,68,24
2014-07-13,61,23
2014-07-20,50,22
2014-07-27,49,24
2014-08-03,47,24
2014-08-10,42,19
2014-08-17,51,25
2014-08-24,48,20
2014-08-31,59,25
2014-09-07,55,21
2014-09-14,66,19
2014-09-21,66,28
2014-09-28,70,28
2014-10-05,77,27
2014-10-12,71,27
2014-10-19,62,24
2014-10-26,72,27
2014-11-02,73,25
2014-11-09,78,28
2014-11-16,67,26
2014-11-23,66,28
2014-11-30,64,23
2014-12-07,70,25
2014-12-14,64,19
2014-12-21,57,18
2014-12-28,71,20
