Category: All categories

Week,Energy: (Portugal),Wi-Fi: (Portugal)
2016-01-03,95,71
2016-01-10,82,69
2016-01-17,88,66
2016-01-24,83,59
2016-01-31,79,69
2016-02-07,67,65
2016-02-14,81,70
2016-02-21,86,54
2016-02-28,92,64
2016-03-06,85,65
2016-03-13,79,67
2016-03-20,66,75
2016-03-27,69,66
2016-04-03,80,73
2016-04-10,89,72
2016-04-17,87,76
2016-04-24,88,74
2016-05-01,91,73
2016-05-08,97,73
2016-05-15,100,73
2016-05-22,95,67
2016-05-29,98,59
2016-06-05,77,55
2016-06-12,83,53
2016-06-19,57,56
2016-06-26,62,48
2016-07-03,59,53
2016-07-10,56,60
2016-07-17,60,66
2016-07-24,60,67
2016-07-31,50,76
2016-08-07,45,75
2016-08-14,45,65
2016-08-21,54,67
2016-08-28,64,61
2016-09-04,59,56
2016-09-11,60,65
2016-09-18,70,64
2016-09-25,75,62
2016-10-02,75,60
2016-10-09,74,58
2016-10-16,73,54
2016-10-23,77,54
2016-10-30,71,63
2016-11-06,88,64
2016-11-13,83,61
2016-11-20,79,53
2016-11-27,77,59
2016-12-04,69,57
2016-12-11,63,63
2016-12-18,51,69
2016-12-25,58,76
