Category: All categories

Week,Amusement park: (Portugal)
2012-01-01,54
2012-01-08,25
2012-01-15,24
2012-01-22,19
2012-01-29,16
2012-02-05,13
2012-02-12,37
2012-02-19,22
2012-02-26,27
2012-03-04,52
2012-03-11,30
2012-03-18,17
2012-03-25,35
2012-04-01,34
2012-04-08,17
2012-04-15,50
2012-04-22,52
2012-04-29,38
2012-05-06,32
2012-05-13,47
2012-05-20,0
2012-05-27,57
2012-06-03,49
2012-06-10,24
2012-06-17,52
2012-06-24,46
2012-07-01,67
2012-07-08,43
2012-07-15,77
2012-07-22,97
2012-07-29,58
2012-08-05,63
2012-08-12,68
2012-08-19,100
2012-08-26,55
2012-09-02,41
2012-09-09,20
2012-09-16,21
2012-09-23,24
2012-09-30,28
2012-10-07,29
2012-10-14,20
2012-10-21,30
2012-10-28,21
2012-11-04,13
2012-11-11,25
2012-11-18,21
2012-11-25,42
2012-12-02,32
2012-12-09,67
2012-12-16,38
2012-12-23,30
2012-12-30,29
