Category: All categories

Week,Auto insurance: (Portugal)
2008-01-06,0
2008-01-13,0
2008-01-20,0
2008-01-27,47
2008-02-03,0
2008-02-10,25
2008-02-17,13
2008-02-24,0
2008-03-02,0
2008-03-09,0
2008-03-16,0
2008-03-23,0
2008-03-30,0
2008-04-06,0
2008-04-13,0
2008-04-20,23
2008-04-27,0
2008-05-04,27
2008-05-11,0
2008-05-18,25
2008-05-25,18
2008-06-01,100
2008-06-08,0
2008-06-15,0
2008-06-22,0
2008-06-29,0
2008-07-06,35
2008-07-13,0
2008-07-20,0
2008-07-27,27
2008-08-03,0
2008-08-10,55
2008-08-17,0
2008-08-24,0
2008-08-31,0
2008-09-07,0
2008-09-14,0
2008-09-21,13
2008-09-28,0
2008-10-05,0
2008-10-12,0
2008-10-19,0
2008-10-26,0
2008-11-02,0
2008-11-09,0
2008-11-16,0
2008-11-23,12
2008-11-30,15
2008-12-07,0
2008-12-14,12
2008-12-21,0
2008-12-28,0
