Category: All categories

Week,Auto insurance: (Portugal)
2017-01-01,24
2017-01-08,23
2017-01-15,0
2017-01-22,0
2017-01-29,25
2017-02-05,14
2017-02-12,0
2017-02-19,38
2017-02-26,0
2017-03-05,15
2017-03-12,23
2017-03-19,0
2017-03-26,35
2017-04-02,40
2017-04-09,28
2017-04-16,19
2017-04-23,18
2017-04-30,32
2017-05-07,20
2017-05-14,25
2017-05-21,18
2017-05-28,0
2017-06-04,30
2017-06-11,56
2017-06-18,0
2017-06-25,47
2017-07-02,60
2017-07-09,28
2017-07-16,27
2017-07-23,44
2017-07-30,0
2017-08-06,33
2017-08-13,51
2017-08-20,28
2017-08-27,0
2017-09-03,17
2017-09-10,24
2017-09-17,15
2017-09-24,41
2017-10-01,37
2017-10-08,23
2017-10-15,16
2017-10-22,0
2017-10-29,29
2017-11-05,29
2017-11-12,28
2017-11-19,32
2017-11-26,30
2017-12-03,20
2017-12-10,22
2017-12-17,0
2017-12-24,27
2017-12-31,0
2018-01-07,0
2018-01-14,0
2018-01-21,0
2018-01-28,0
2018-02-04,23
2018-02-11,16
2018-02-18,0
2018-02-25,27
2018-03-04,0
2018-03-11,0
2018-03-18,38
2018-03-25,38
2018-04-01,22
2018-04-08,0
2018-04-15,17
2018-04-22,26
2018-04-29,0
2018-05-06,43
2018-05-13,38
2018-05-20,29
2018-05-27,0
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,22
2018-07-01,28
2018-07-08,45
2018-07-15,35
2018-07-22,27
2018-07-29,22
2018-08-05,70
2018-08-12,0
2018-08-19,25
2018-08-26,33
2018-09-02,21
2018-09-09,35
2018-09-16,100
2018-09-23,22
2018-09-30,27
2018-10-07,0
2018-10-14,66
2018-10-21,40
2018-10-28,21
2018-11-04,34
2018-11-11,51
2018-11-18,44
2018-11-25,38
2018-12-02,72
2018-12-09,15
2018-12-16,65
2018-12-23,21
2018-12-30,45
