Category: All categories

Week,Automotive industry: (Portugal)
2011-01-02,25
2011-01-09,0
2011-01-16,61
2011-01-23,0
2011-01-30,51
2011-02-06,81
2011-02-13,57
2011-02-20,37
2011-02-27,42
2011-03-06,68
2011-03-13,40
2011-03-20,59
2011-03-27,37
2011-04-03,64
2011-04-10,47
2011-04-17,0
2011-04-24,45
2011-05-01,37
2011-05-08,36
2011-05-15,45
2011-05-22,37
2011-05-29,19
2011-06-05,38
2011-06-12,21
2011-06-19,0
2011-06-26,76
2011-07-03,37
2011-07-10,39
2011-07-17,72
2011-07-24,75
2011-07-31,47
2011-08-07,35
2011-08-14,72
2011-08-21,46
2011-08-28,42
2011-09-04,29
2011-09-11,0
2011-09-18,28
2011-09-25,47
2011-10-02,55
2011-10-09,100
2011-10-16,70
2011-10-23,26
2011-10-30,35
2011-11-06,51
2011-11-13,34
2011-11-20,34
2011-11-27,24
2011-12-04,63
2011-12-11,15
2011-12-18,27
2011-12-25,87
2012-01-01,71
2012-01-08,18
2012-01-15,62
2012-01-22,47
2012-01-29,28
2012-02-05,77
2012-02-12,49
2012-02-19,73
2012-02-26,77
2012-03-04,46
2012-03-11,48
2012-03-18,33
2012-03-25,0
2012-04-01,53
2012-04-08,29
2012-04-15,15
2012-04-22,0
2012-04-29,0
2012-05-06,16
2012-05-13,28
2012-05-20,23
2012-05-27,33
2012-06-03,68
2012-06-10,14
2012-06-17,16
2012-06-24,44
2012-07-01,30
2012-07-08,20
2012-07-15,31
2012-07-22,34
2012-07-29,0
2012-08-05,33
2012-08-12,0
2012-08-19,21
2012-08-26,27
2012-09-02,32
2012-09-09,32
2012-09-16,46
2012-09-23,35
2012-09-30,0
2012-10-07,46
2012-10-14,30
2012-10-21,48
2012-10-28,91
2012-11-04,24
2012-11-11,40
2012-11-18,42
2012-11-25,60
2012-12-02,17
2012-12-09,33
2012-12-16,15
2012-12-23,16
2012-12-30,36
