Category: All categories

Week,Automotive industry: (Portugal)
2018-01-07,26
2018-01-14,95
2018-01-21,81
2018-01-28,22
2018-02-04,60
2018-02-11,44
2018-02-18,37
2018-02-25,34
2018-03-04,0
2018-03-11,33
2018-03-18,19
2018-03-25,0
2018-04-01,23
2018-04-08,56
2018-04-15,0
2018-04-22,100
2018-04-29,27
2018-05-06,0
2018-05-13,43
2018-05-20,75
2018-05-27,60
2018-06-03,26
2018-06-10,42
2018-06-17,0
2018-06-24,25
2018-07-01,19
2018-07-08,37
2018-07-15,42
2018-07-22,0
2018-07-29,60
2018-08-05,0
2018-08-12,0
2018-08-19,21
2018-08-26,0
2018-09-02,60
2018-09-09,96
2018-09-16,44
2018-09-23,48
2018-09-30,33
2018-10-07,44
2018-10-14,46
2018-10-21,58
2018-10-28,66
2018-11-04,65
2018-11-11,69
2018-11-18,43
2018-11-25,68
2018-12-02,48
2018-12-09,28
2018-12-16,0
2018-12-23,0
2018-12-30,71
