Category: All categories

Week,Beer: (Portugal)
2016-01-03,47
2016-01-10,42
2016-01-17,48
2016-01-24,53
2016-01-31,42
2016-02-07,47
2016-02-14,54
2016-02-21,45
2016-02-28,50
2016-03-06,50
2016-03-13,45
2016-03-20,61
2016-03-27,55
2016-04-03,58
2016-04-10,51
2016-04-17,53
2016-04-24,53
2016-05-01,64
2016-05-08,66
2016-05-15,56
2016-05-22,59
2016-05-29,56
2016-06-05,61
2016-06-12,73
2016-06-19,68
2016-06-26,69
2016-07-03,70
2016-07-10,58
2016-07-17,62
2016-07-24,67
2016-07-31,70
2016-08-07,62
2016-08-14,78
2016-08-21,74
2016-08-28,70
2016-09-04,69
2016-09-11,62
2016-09-18,71
2016-09-25,72
2016-10-02,57
2016-10-09,62
2016-10-16,55
2016-10-23,60
2016-10-30,57
2016-11-06,54
2016-11-13,57
2016-11-20,51
2016-11-27,52
2016-12-04,58
2016-12-11,58
2016-12-18,58
2016-12-25,69
2017-01-01,56
2017-01-08,57
2017-01-15,54
2017-01-22,65
2017-01-29,51
2017-02-05,52
2017-02-12,55
2017-02-19,58
2017-02-26,55
2017-03-05,61
2017-03-12,63
2017-03-19,55
2017-03-26,62
2017-04-02,60
2017-04-09,63
2017-04-16,67
2017-04-23,64
2017-04-30,72
2017-05-07,65
2017-05-14,79
2017-05-21,65
2017-05-28,66
2017-06-04,76
2017-06-11,100
2017-06-18,77
2017-06-25,77
2017-07-02,80
2017-07-09,75
2017-07-16,72
2017-07-23,61
2017-07-30,84
2017-08-06,86
2017-08-13,74
2017-08-20,86
2017-08-27,78
2017-09-03,69
2017-09-10,74
2017-09-17,71
2017-09-24,64
2017-10-01,73
2017-10-08,80
2017-10-15,66
2017-10-22,69
2017-10-29,64
2017-11-05,62
2017-11-12,64
2017-11-19,71
2017-11-26,67
2017-12-03,60
2017-12-10,63
2017-12-17,70
2017-12-24,70
2017-12-31,63
