Category: All categories

Week,Bottled water: (Portugal)
2012-01-01,83
2012-01-08,39
2012-01-15,0
2012-01-22,48
2012-01-29,0
2012-02-05,0
2012-02-12,0
2012-02-19,37
2012-02-26,0
2012-03-04,0
2012-03-11,0
2012-03-18,33
2012-03-25,0
2012-04-01,0
2012-04-08,0
2012-04-15,37
2012-04-22,0
2012-04-29,38
2012-05-06,0
2012-05-13,100
2012-05-20,0
2012-05-27,0
2012-06-03,0
2012-06-10,0
2012-06-17,0
2012-06-24,0
2012-07-01,0
2012-07-08,0
2012-07-15,37
2012-07-22,0
2012-07-29,0
2012-08-05,0
2012-08-12,0
2012-08-19,0
2012-08-26,0
2012-09-02,0
2012-09-09,0
2012-09-16,0
2012-09-23,39
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,66
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
