Category: All categories

Week,Clothing: (Portugal)
2012-01-01,80
2012-01-08,86
2012-01-15,85
2012-01-22,82
2012-01-29,86
2012-02-05,88
2012-02-12,95
2012-02-19,96
2012-02-26,81
2012-03-04,91
2012-03-11,90
2012-03-18,86
2012-03-25,94
2012-04-01,89
2012-04-08,81
2012-04-15,83
2012-04-22,86
2012-04-29,81
2012-05-06,86
2012-05-13,85
2012-05-20,86
2012-05-27,81
2012-06-03,87
2012-06-10,82
2012-06-17,81
2012-06-24,86
2012-07-01,93
2012-07-08,86
2012-07-15,85
2012-07-22,90
2012-07-29,88
2012-08-05,89
2012-08-12,96
2012-08-19,89
2012-08-26,95
2012-09-02,89
2012-09-09,88
2012-09-16,84
2012-09-23,94
2012-09-30,90
2012-10-07,82
2012-10-14,94
2012-10-21,97
2012-10-28,96
2012-11-04,94
2012-11-11,88
2012-11-18,97
2012-11-25,100
2012-12-02,89
2012-12-09,89
2012-12-16,98
2012-12-23,100
2012-12-30,88
