Category: All categories

Week,Clothing: (Portugal)
2017-01-01,79
2017-01-08,77
2017-01-15,88
2017-01-22,81
2017-01-29,88
2017-02-05,80
2017-02-12,84
2017-02-19,91
2017-02-26,82
2017-03-05,73
2017-03-12,77
2017-03-19,74
2017-03-26,75
2017-04-02,76
2017-04-09,77
2017-04-16,75
2017-04-23,77
2017-04-30,76
2017-05-07,76
2017-05-14,78
2017-05-21,78
2017-05-28,81
2017-06-04,79
2017-06-11,70
2017-06-18,75
2017-06-25,75
2017-07-02,75
2017-07-09,71
2017-07-16,75
2017-07-23,76
2017-07-30,72
2017-08-06,74
2017-08-13,70
2017-08-20,72
2017-08-27,79
2017-09-03,78
2017-09-10,76
2017-09-17,77
2017-09-24,80
2017-10-01,76
2017-10-08,78
2017-10-15,76
2017-10-22,84
2017-10-29,81
2017-11-05,86
2017-11-12,84
2017-11-19,88
2017-11-26,89
2017-12-03,91
2017-12-10,87
2017-12-17,81
2017-12-24,97
2017-12-31,95
2018-01-07,84
2018-01-14,93
2018-01-21,86
2018-01-28,84
2018-02-04,85
2018-02-11,75
2018-02-18,76
2018-02-25,77
2018-03-04,82
2018-03-11,81
2018-03-18,77
2018-03-25,73
2018-04-01,80
2018-04-08,74
2018-04-15,76
2018-04-22,83
2018-04-29,76
2018-05-06,79
2018-05-13,76
2018-05-20,79
2018-05-27,84
2018-06-03,74
2018-06-10,78
2018-06-17,70
2018-06-24,72
2018-07-01,73
2018-07-08,73
2018-07-15,75
2018-07-22,74
2018-07-29,66
2018-08-05,69
2018-08-12,78
2018-08-19,71
2018-08-26,75
2018-09-02,74
2018-09-09,76
2018-09-16,74
2018-09-23,74
2018-09-30,79
2018-10-07,78
2018-10-14,85
2018-10-21,86
2018-10-28,98
2018-11-04,99
2018-11-11,100
2018-11-18,100
2018-11-25,95
2018-12-02,96
2018-12-09,86
2018-12-16,84
2018-12-23,92
2018-12-30,86
