Category: All categories

Week,Coffee: (Portugal)
2014-01-05,73
2014-01-12,73
2014-01-19,84
2014-01-26,85
2014-02-02,72
2014-02-09,70
2014-02-16,77
2014-02-23,77
2014-03-02,69
2014-03-09,75
2014-03-16,78
2014-03-23,74
2014-03-30,76
2014-04-06,74
2014-04-13,78
2014-04-20,100
2014-04-27,78
2014-05-04,81
2014-05-11,81
2014-05-18,81
2014-05-25,78
2014-06-01,79
2014-06-08,62
2014-06-15,64
2014-06-22,71
2014-06-29,65
2014-07-06,74
2014-07-13,76
2014-07-20,73
2014-07-27,66
2014-08-03,61
2014-08-10,68
2014-08-17,64
2014-08-24,77
2014-08-31,70
2014-09-07,67
2014-09-14,76
2014-09-21,76
2014-09-28,68
2014-10-05,81
2014-10-12,75
2014-10-19,60
2014-10-26,71
2014-11-02,71
2014-11-09,70
2014-11-16,77
2014-11-23,82
2014-11-30,75
2014-12-07,85
2014-12-14,73
2014-12-21,75
2014-12-28,72
