Category: All categories

Week,Coffee: (Portugal)
2014-01-05,73
2014-01-12,73
2014-01-19,84
2014-01-26,85
2014-02-02,72
2014-02-09,70
2014-02-16,77
2014-02-23,77
2014-03-02,69
2014-03-09,75
2014-03-16,78
2014-03-23,74
2014-03-30,76
2014-04-06,74
2014-04-13,78
2014-04-20,100
2014-04-27,78
2014-05-04,81
2014-05-11,81
2014-05-18,81
2014-05-25,78
2014-06-01,79
2014-06-08,62
2014-06-15,64
2014-06-22,71
2014-06-29,65
2014-07-06,74
2014-07-13,76
2014-07-20,73
2014-07-27,66
2014-08-03,61
2014-08-10,68
2014-08-17,64
2014-08-24,77
2014-08-31,70
2014-09-07,67
2014-09-14,76
2014-09-21,76
2014-09-28,68
2014-10-05,81
2014-10-12,75
2014-10-19,60
2014-10-26,71
2014-11-02,71
2014-11-09,70
2014-11-16,77
2014-11-23,82
2014-11-30,75
2014-12-07,85
2014-12-14,73
2014-12-21,75
2014-12-28,72
2015-01-04,70
2015-01-11,75
2015-01-18,76
2015-01-25,71
2015-02-01,81
2015-02-08,80
2015-02-15,79
2015-02-22,86
2015-03-01,86
2015-03-08,81
2015-03-15,76
2015-03-22,73
2015-03-29,77
2015-04-05,75
2015-04-12,79
2015-04-19,76
2015-04-26,72
2015-05-03,80
2015-05-10,79
2015-05-17,74
2015-05-24,74
2015-05-31,74
2015-06-07,73
2015-06-14,69
2015-06-21,69
2015-06-28,70
2015-07-05,71
2015-07-12,67
2015-07-19,76
2015-07-26,64
2015-08-02,67
2015-08-09,64
2015-08-16,74
2015-08-23,70
2015-08-30,77
2015-09-06,79
2015-09-13,84
2015-09-20,68
2015-09-27,74
2015-10-04,80
2015-10-11,91
2015-10-18,81
2015-10-25,76
2015-11-01,90
2015-11-08,81
2015-11-15,97
2015-11-22,80
2015-11-29,84
2015-12-06,85
2015-12-13,87
2015-12-20,85
2015-12-27,86
