Category: All categories

Week,Dessert: (Portugal)
2007-01-07,62
2007-01-14,83
2007-01-21,62
2007-01-28,48
2007-02-04,0
2007-02-11,67
2007-02-18,0
2007-02-25,61
2007-03-04,62
2007-03-11,70
2007-03-18,37
2007-03-25,0
2007-04-01,83
2007-04-08,53
2007-04-15,35
2007-04-22,72
2007-04-29,71
2007-05-06,73
2007-05-13,43
2007-05-20,74
2007-05-27,72
2007-06-03,60
2007-06-10,67
2007-06-17,39
2007-06-24,48
2007-07-01,55
2007-07-08,77
2007-07-15,32
2007-07-22,52
2007-07-29,61
2007-08-05,44
2007-08-12,65
2007-08-19,38
2007-08-26,72
2007-09-02,58
2007-09-09,28
2007-09-16,13
2007-09-23,45
2007-09-30,64
2007-10-07,35
2007-10-14,73
2007-10-21,54
2007-10-28,20
2007-11-04,46
2007-11-11,69
2007-11-18,72
2007-11-25,42
2007-12-02,40
2007-12-09,73
2007-12-16,39
2007-12-23,100
2007-12-30,31
