Category: All categories

Week,Dessert: (Portugal)
2011-01-02,28
2011-01-09,32
2011-01-16,43
2011-01-23,43
2011-01-30,50
2011-02-06,46
2011-02-13,57
2011-02-20,43
2011-02-27,43
2011-03-06,44
2011-03-13,53
2011-03-20,33
2011-03-27,44
2011-04-03,38
2011-04-10,53
2011-04-17,54
2011-04-24,38
2011-05-01,34
2011-05-08,50
2011-05-15,50
2011-05-22,51
2011-05-29,38
2011-06-05,56
2011-06-12,50
2011-06-19,61
2011-06-26,45
2011-07-03,47
2011-07-10,64
2011-07-17,57
2011-07-24,56
2011-07-31,55
2011-08-07,59
2011-08-14,71
2011-08-21,65
2011-08-28,52
2011-09-04,48
2011-09-11,53
2011-09-18,57
2011-09-25,50
2011-10-02,50
2011-10-09,48
2011-10-16,70
2011-10-23,51
2011-10-30,52
2011-11-06,43
2011-11-13,57
2011-11-20,67
2011-11-27,50
2011-12-04,45
2011-12-11,63
2011-12-18,100
2011-12-25,86
2012-01-01,48
2012-01-08,50
2012-01-15,46
2012-01-22,56
2012-01-29,67
2012-02-05,70
2012-02-12,75
2012-02-19,57
2012-02-26,55
2012-03-04,53
2012-03-11,58
2012-03-18,67
2012-03-25,75
2012-04-01,91
2012-04-08,52
2012-04-15,64
2012-04-22,63
2012-04-29,60
2012-05-06,55
2012-05-13,54
2012-05-20,64
2012-05-27,63
2012-06-03,63
2012-06-10,53
2012-06-17,67
2012-06-24,66
2012-07-01,69
2012-07-08,82
2012-07-15,97
2012-07-22,90
2012-07-29,90
2012-08-05,78
2012-08-12,97
2012-08-19,76
2012-08-26,68
2012-09-02,67
2012-09-09,74
2012-09-16,69
2012-09-23,53
2012-09-30,77
2012-10-07,59
2012-10-14,68
2012-10-21,58
2012-10-28,79
2012-11-04,66
2012-11-11,76
2012-11-18,60
2012-11-25,66
2012-12-02,64
2012-12-09,59
2012-12-16,85
2012-12-23,97
2012-12-30,83
