Category: All categories

Week,ebook: (Portugal)
2006-01-01,60
2006-01-08,41
2006-01-15,55
2006-01-22,24
2006-01-29,66
2006-02-05,53
2006-02-12,49
2006-02-19,29
2006-02-26,50
2006-03-05,38
2006-03-12,27
2006-03-19,73
2006-03-26,80
2006-04-02,52
2006-04-09,64
2006-04-16,19
2006-04-23,41
2006-04-30,83
2006-05-07,30
2006-05-14,29
2006-05-21,43
2006-05-28,0
2006-06-04,48
2006-06-11,15
2006-06-18,26
2006-06-25,72
2006-07-02,85
2006-07-09,100
2006-07-16,69
2006-07-23,36
2006-07-30,70
2006-08-06,40
2006-08-13,41
2006-08-20,16
2006-08-27,24
2006-09-03,86
2006-09-10,0
2006-09-17,33
2006-09-24,54
2006-10-01,33
2006-10-08,64
2006-10-15,40
2006-10-22,42
2006-10-29,43
2006-11-05,25
2006-11-12,70
2006-11-19,60
2006-11-26,50
2006-12-03,40
2006-12-10,52
2006-12-17,99
2006-12-24,58
2006-12-31,52
