Category: All categories

Week,ebook: (Portugal)
2009-01-04,63
2009-01-11,82
2009-01-18,62
2009-01-25,72
2009-02-01,65
2009-02-08,59
2009-02-15,54
2009-02-22,55
2009-03-01,73
2009-03-08,52
2009-03-15,45
2009-03-22,62
2009-03-29,38
2009-04-05,64
2009-04-12,62
2009-04-19,55
2009-04-26,52
2009-05-03,55
2009-05-10,51
2009-05-17,52
2009-05-24,61
2009-05-31,49
2009-06-07,68
2009-06-14,60
2009-06-21,41
2009-06-28,49
2009-07-05,45
2009-07-12,42
2009-07-19,54
2009-07-26,53
2009-08-02,61
2009-08-09,47
2009-08-16,60
2009-08-23,58
2009-08-30,41
2009-09-06,69
2009-09-13,55
2009-09-20,75
2009-09-27,66
2009-10-04,85
2009-10-11,75
2009-10-18,76
2009-10-25,94
2009-11-01,97
2009-11-08,75
2009-11-15,87
2009-11-22,86
2009-11-29,65
2009-12-06,64
2009-12-13,68
2009-12-20,64
2009-12-27,70
2010-01-03,83
2010-01-10,84
2010-01-17,72
2010-01-24,69
2010-01-31,86
2010-02-07,61
2010-02-14,67
2010-02-21,85
2010-02-28,80
2010-03-07,85
2010-03-14,84
2010-03-21,56
2010-03-28,65
2010-04-04,83
2010-04-11,64
2010-04-18,83
2010-04-25,62
2010-05-02,72
2010-05-09,61
2010-05-16,42
2010-05-23,59
2010-05-30,61
2010-06-06,62
2010-06-13,61
2010-06-20,80
2010-06-27,47
2010-07-04,39
2010-07-11,58
2010-07-18,55
2010-07-25,81
2010-08-01,63
2010-08-08,67
2010-08-15,70
2010-08-22,58
2010-08-29,50
2010-09-05,42
2010-09-12,73
2010-09-19,76
2010-09-26,84
2010-10-03,86
2010-10-10,71
2010-10-17,55
2010-10-24,65
2010-10-31,80
2010-11-07,80
2010-11-14,76
2010-11-21,72
2010-11-28,53
2010-12-05,100
2010-12-12,79
2010-12-19,57
2010-12-26,74
