Category: All categories

Week,electrical appliance: (Portugal)
2010-01-03,0
2010-01-10,0
2010-01-17,0
2010-01-24,0
2010-01-31,0
2010-02-07,0
2010-02-14,0
2010-02-21,0
2010-02-28,0
2010-03-07,0
2010-03-14,0
2010-03-21,0
2010-03-28,0
2010-04-04,59
2010-04-11,0
2010-04-18,50
2010-04-25,0
2010-05-02,100
2010-05-09,0
2010-05-16,55
2010-05-23,0
2010-05-30,0
2010-06-06,0
2010-06-13,0
2010-06-20,0
2010-06-27,62
2010-07-04,79
2010-07-11,61
2010-07-18,0
2010-07-25,53
2010-08-01,0
2010-08-08,0
2010-08-15,0
2010-08-22,0
2010-08-29,0
2010-09-05,0
2010-09-12,0
2010-09-19,73
2010-09-26,0
2010-10-03,0
2010-10-10,53
2010-10-17,0
2010-10-24,0
2010-10-31,0
2010-11-07,0
2010-11-14,0
2010-11-21,67
2010-11-28,0
2010-12-05,0
2010-12-12,0
2010-12-19,0
2010-12-26,58
