Category: All categories

Week,Electricity: (Portugal)
2012-01-01,47
2012-01-08,59
2012-01-15,53
2012-01-22,49
2012-01-29,42
2012-02-05,56
2012-02-12,54
2012-02-19,54
2012-02-26,51
2012-03-04,46
2012-03-11,46
2012-03-18,45
2012-03-25,50
2012-04-01,36
2012-04-08,43
2012-04-15,51
2012-04-22,50
2012-04-29,63
2012-05-06,73
2012-05-13,58
2012-05-20,58
2012-05-27,54
2012-06-03,45
2012-06-10,39
2012-06-17,44
2012-06-24,40
2012-07-01,57
2012-07-08,43
2012-07-15,44
2012-07-22,43
2012-07-29,34
2012-08-05,44
2012-08-12,37
2012-08-19,41
2012-08-26,27
2012-09-02,41
2012-09-09,56
2012-09-16,47
2012-09-23,48
2012-09-30,39
2012-10-07,41
2012-10-14,58
2012-10-21,49
2012-10-28,45
2012-11-04,50
2012-11-11,44
2012-11-18,45
2012-11-25,51
2012-12-02,62
2012-12-09,60
2012-12-16,79
2012-12-23,86
2012-12-30,80
2013-01-06,83
2013-01-13,62
2013-01-20,72
2013-01-27,65
2013-02-03,54
2013-02-10,52
2013-02-17,47
2013-02-24,98
2013-03-03,71
2013-03-10,59
2013-03-17,48
2013-03-24,67
2013-03-31,53
2013-04-07,51
2013-04-14,42
2013-04-21,56
2013-04-28,100
2013-05-05,52
2013-05-12,55
2013-05-19,44
2013-05-26,63
2013-06-02,48
2013-06-09,36
2013-06-16,35
2013-06-23,39
2013-06-30,33
2013-07-07,36
2013-07-14,33
2013-07-21,35
2013-07-28,34
2013-08-04,34
2013-08-11,31
2013-08-18,34
2013-08-25,30
2013-09-01,38
2013-09-08,36
2013-09-15,38
2013-09-22,39
2013-09-29,35
2013-10-06,47
2013-10-13,56
2013-10-20,50
2013-10-27,46
2013-11-03,55
2013-11-10,47
2013-11-17,52
2013-11-24,50
2013-12-01,57
2013-12-08,53
2013-12-15,43
2013-12-22,46
2013-12-29,59
