Category: All categories

Week,Electricity: (Portugal)
2014-01-05,67
2014-01-12,78
2014-01-19,85
2014-01-26,82
2014-02-02,75
2014-02-09,67
2014-02-16,68
2014-02-23,67
2014-03-02,75
2014-03-09,77
2014-03-16,82
2014-03-23,77
2014-03-30,66
2014-04-06,59
2014-04-13,55
2014-04-20,52
2014-04-27,63
2014-05-04,68
2014-05-11,62
2014-05-18,80
2014-05-25,73
2014-06-01,67
2014-06-08,52
2014-06-15,58
2014-06-22,68
2014-06-29,50
2014-07-06,60
2014-07-13,55
2014-07-20,57
2014-07-27,51
2014-08-03,45
2014-08-10,55
2014-08-17,54
2014-08-24,51
2014-08-31,63
2014-09-07,55
2014-09-14,73
2014-09-21,71
2014-09-28,76
2014-10-05,73
2014-10-12,68
2014-10-19,71
2014-10-26,69
2014-11-02,73
2014-11-09,82
2014-11-16,72
2014-11-23,59
2014-11-30,67
2014-12-07,77
2014-12-14,78
2014-12-21,77
2014-12-28,100
