Category: All categories

Week,Energy: (Portugal)
2009-01-04,96
2009-01-11,80
2009-01-18,69
2009-01-25,76
2009-02-01,67
2009-02-08,74
2009-02-15,91
2009-02-22,70
2009-03-01,100
2009-03-08,94
2009-03-15,80
2009-03-22,92
2009-03-29,61
2009-04-05,59
2009-04-12,79
2009-04-19,78
2009-04-26,80
2009-05-03,82
2009-05-10,81
2009-05-17,77
2009-05-24,94
2009-05-31,80
2009-06-07,56
2009-06-14,71
2009-06-21,53
2009-06-28,55
2009-07-05,56
2009-07-12,50
2009-07-19,46
2009-07-26,43
2009-08-02,39
2009-08-09,39
2009-08-16,33
2009-08-23,32
2009-08-30,41
2009-09-06,30
2009-09-13,50
2009-09-20,46
2009-09-27,53
2009-10-04,53
2009-10-11,52
2009-10-18,63
2009-10-25,58
2009-11-01,69
2009-11-08,65
2009-11-15,70
2009-11-22,59
2009-11-29,50
2009-12-06,55
2009-12-13,60
2009-12-20,30
2009-12-27,39
