Category: All categories

Week,Energy: (Portugal)
2011-01-02,66
2011-01-09,81
2011-01-16,79
2011-01-23,76
2011-01-30,73
2011-02-06,77
2011-02-13,71
2011-02-20,81
2011-02-27,76
2011-03-06,65
2011-03-13,87
2011-03-20,81
2011-03-27,76
2011-04-03,68
2011-04-10,52
2011-04-17,57
2011-04-24,72
2011-05-01,79
2011-05-08,83
2011-05-15,92
2011-05-22,100
2011-05-29,96
2011-06-05,90
2011-06-12,96
2011-06-19,78
2011-06-26,99
2011-07-03,81
2011-07-10,80
2011-07-17,89
2011-07-24,77
2011-07-31,55
2011-08-07,46
2011-08-14,46
2011-08-21,48
2011-08-28,44
2011-09-04,51
2011-09-11,47
2011-09-18,60
2011-09-25,62
2011-10-02,65
2011-10-09,61
2011-10-16,71
2011-10-23,63
2011-10-30,58
2011-11-06,66
2011-11-13,69
2011-11-20,65
2011-11-27,61
2011-12-04,56
2011-12-11,61
2011-12-18,37
2011-12-25,51
2012-01-01,63
2012-01-08,76
2012-01-15,75
2012-01-22,72
2012-01-29,60
2012-02-05,69
2012-02-12,66
2012-02-19,56
2012-02-26,67
2012-03-04,68
2012-03-11,73
2012-03-18,71
2012-03-25,55
2012-04-01,45
2012-04-08,59
2012-04-15,78
2012-04-22,67
2012-04-29,72
2012-05-06,82
2012-05-13,84
2012-05-20,85
2012-05-27,89
2012-06-03,73
2012-06-10,67
2012-06-17,59
2012-06-24,63
2012-07-01,57
2012-07-08,53
2012-07-15,47
2012-07-22,40
2012-07-29,38
2012-08-05,37
2012-08-12,38
2012-08-19,39
2012-08-26,41
2012-09-02,42
2012-09-09,51
2012-09-16,58
2012-09-23,50
2012-09-30,46
2012-10-07,51
2012-10-14,54
2012-10-21,53
2012-10-28,57
2012-11-04,59
2012-11-11,56
2012-11-18,58
2012-11-25,63
2012-12-02,61
2012-12-09,58
2012-12-16,49
2012-12-23,56
2012-12-30,64
