Category: All categories

Week,Food: (Portugal)
2014-01-05,85
2014-01-12,90
2014-01-19,82
2014-01-26,91
2014-02-02,87
2014-02-09,85
2014-02-16,100
2014-02-23,87
2014-03-02,83
2014-03-09,91
2014-03-16,91
2014-03-23,90
2014-03-30,80
2014-04-06,86
2014-04-13,91
2014-04-20,83
2014-04-27,95
2014-05-04,91
2014-05-11,97
2014-05-18,90
2014-05-25,94
2014-06-01,93
2014-06-08,87
2014-06-15,82
2014-06-22,82
2014-06-29,81
2014-07-06,88
2014-07-13,91
2014-07-20,83
2014-07-27,81
2014-08-03,75
2014-08-10,79
2014-08-17,86
2014-08-24,79
2014-08-31,92
2014-09-07,86
2014-09-14,87
2014-09-21,86
2014-09-28,83
2014-10-05,97
2014-10-12,100
2014-10-19,86
2014-10-26,91
2014-11-02,93
2014-11-09,85
2014-11-16,87
2014-11-23,90
2014-11-30,87
2014-12-07,90
2014-12-14,78
2014-12-21,73
2014-12-28,88
