Category: All categories

Week,Food: (Portugal)
2016-01-03,67
2016-01-10,69
2016-01-17,70
2016-01-24,72
2016-01-31,69
2016-02-07,72
2016-02-14,67
2016-02-21,76
2016-02-28,77
2016-03-06,73
2016-03-13,67
2016-03-20,69
2016-03-27,79
2016-04-03,78
2016-04-10,79
2016-04-17,70
2016-04-24,73
2016-05-01,67
2016-05-08,76
2016-05-15,74
2016-05-22,72
2016-05-29,71
2016-06-05,70
2016-06-12,67
2016-06-19,61
2016-06-26,66
2016-07-03,68
2016-07-10,64
2016-07-17,69
2016-07-24,65
2016-07-31,61
2016-08-07,65
2016-08-14,67
2016-08-21,73
2016-08-28,67
2016-09-04,65
2016-09-11,68
2016-09-18,72
2016-09-25,69
2016-10-02,73
2016-10-09,77
2016-10-16,75
2016-10-23,72
2016-10-30,75
2016-11-06,71
2016-11-13,66
2016-11-20,66
2016-11-27,71
2016-12-04,75
2016-12-11,67
2016-12-18,59
2016-12-25,65
2017-01-01,75
2017-01-08,81
2017-01-15,76
2017-01-22,73
2017-01-29,80
2017-02-05,83
2017-02-12,81
2017-02-19,79
2017-02-26,78
2017-03-05,83
2017-03-12,78
2017-03-19,86
2017-03-26,83
2017-04-02,75
2017-04-09,70
2017-04-16,78
2017-04-23,74
2017-04-30,72
2017-05-07,69
2017-05-14,85
2017-05-21,80
2017-05-28,95
2017-06-04,78
2017-06-11,75
2017-06-18,71
2017-06-25,89
2017-07-02,75
2017-07-09,73
2017-07-16,71
2017-07-23,77
2017-07-30,71
2017-08-06,72
2017-08-13,70
2017-08-20,69
2017-08-27,73
2017-09-03,69
2017-09-10,82
2017-09-17,80
2017-09-24,75
2017-10-01,79
2017-10-08,100
2017-10-15,97
2017-10-22,83
2017-10-29,81
2017-11-05,84
2017-11-12,74
2017-11-19,79
2017-11-26,76
2017-12-03,74
2017-12-10,67
2017-12-17,67
2017-12-24,67
2017-12-31,73
