Category: All categories

Week,Footwear: (Portugal)
2012-01-01,18
2012-01-08,28
2012-01-15,78
2012-01-22,32
2012-01-29,28
2012-02-05,29
2012-02-12,45
2012-02-19,0
2012-02-26,44
2012-03-04,54
2012-03-11,36
2012-03-18,33
2012-03-25,44
2012-04-01,31
2012-04-08,0
2012-04-15,22
2012-04-22,27
2012-04-29,73
2012-05-06,0
2012-05-13,0
2012-05-20,0
2012-05-27,0
2012-06-03,100
2012-06-10,0
2012-06-17,49
2012-06-24,25
2012-07-01,0
2012-07-08,37
2012-07-15,27
2012-07-22,0
2012-07-29,27
2012-08-05,86
2012-08-12,85
2012-08-19,0
2012-08-26,84
2012-09-02,0
2012-09-09,44
2012-09-16,0
2012-09-23,36
2012-09-30,32
2012-10-07,59
2012-10-14,28
2012-10-21,30
2012-10-28,0
2012-11-04,42
2012-11-11,22
2012-11-18,0
2012-11-25,35
2012-12-02,0
2012-12-09,49
2012-12-16,0
2012-12-23,19
2012-12-30,43
2013-01-06,37
2013-01-13,25
2013-01-20,17
2013-01-27,21
2013-02-03,86
2013-02-10,17
2013-02-17,20
2013-02-24,26
2013-03-03,0
2013-03-10,39
2013-03-17,16
2013-03-24,61
2013-03-31,0
2013-04-07,19
2013-04-14,28
2013-04-21,19
2013-04-28,33
2013-05-05,40
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,48
2013-06-09,15
2013-06-16,34
2013-06-23,23
2013-06-30,27
2013-07-07,0
2013-07-14,35
2013-07-21,52
2013-07-28,21
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,17
2013-09-15,43
2013-09-22,0
2013-09-29,15
2013-10-06,26
2013-10-13,22
2013-10-20,0
2013-10-27,39
2013-11-03,51
2013-11-10,54
2013-11-17,0
2013-11-24,17
2013-12-01,21
2013-12-08,15
2013-12-15,46
2013-12-22,61
2013-12-29,67
