Category: All categories

Week,Footwear: (Portugal)
2016-01-03,36
2016-01-10,34
2016-01-17,0
2016-01-24,40
2016-01-31,0
2016-02-07,39
2016-02-14,27
2016-02-21,13
2016-02-28,53
2016-03-06,22
2016-03-13,0
2016-03-20,0
2016-03-27,41
2016-04-03,43
2016-04-10,29
2016-04-17,20
2016-04-24,0
2016-05-01,18
2016-05-08,0
2016-05-15,18
2016-05-22,0
2016-05-29,0
2016-06-05,15
2016-06-12,44
2016-06-19,50
2016-06-26,17
2016-07-03,27
2016-07-10,33
2016-07-17,24
2016-07-24,0
2016-07-31,0
2016-08-07,0
2016-08-14,33
2016-08-21,54
2016-08-28,0
2016-09-04,34
2016-09-11,34
2016-09-18,0
2016-09-25,21
2016-10-02,24
2016-10-09,18
2016-10-16,0
2016-10-23,0
2016-10-30,21
2016-11-06,36
2016-11-13,30
2016-11-20,26
2016-11-27,37
2016-12-04,58
2016-12-11,61
2016-12-18,100
2016-12-25,63
